A700:      { 100 5 ---  114 5 ---  101 5 ---  115 5 --- }
A75D:      { 25A 5 ---  26C 5 ---  25B 5 ---  26D 5 --- }
A75E:      { 25C 5 ---  26E 5 ---  25D 5 ---  26F 5 --- }
A75F:      { 25E 5 ---  270 5 ---  25F 5 ---  271 5 --- }
A760:      { 25F 5 x--  271 5 x--  25E 5 x--  270 5 x-- }
A761:      { 25D 5 x--  26F 5 x--  25C 5 x--  26E 5 x-- }
A762:      { 25B 5 x--  26D 5 x--  25A 5 x--  26C 5 x-- }
A763:      { 259 5 x--  26B 5 x--  258 5 x--  26A 5 x-- }
A764:      { 257 5 x--  269 5 x--  256 5 x--  268 5 x-- }
A765:      { 255 5 x--  212 5 ---  254 5 x--  212 5 --- }
A766:      { 253 5 x--  267 5 x--  252 5 x--  266 5 x-- }
A767:      { 251 5 x--  265 5 x--  250 5 x--  264 5 x-- }
A768:      { 24F 5 x--  263 5 x--  24E 5 x--  262 5 x-- }
A769:      { 24D 5 x--  261 5 x--  212 5 ---  260 5 x-- }
A76A:      { 272 5 ---  27D 5 ---  273 5 ---  27E 5 --- }
A76B:      { 274 5 ---  27F 5 ---  275 5 ---  280 5 --- }
A76C:      { 212 5 ---  278 5 ---  212 5 ---  279 5 --- }
A76D:      { 212 5 ---  281 5 ---  212 5 ---  282 5 --- }
A76E:      { 212 5 ---  282 5 ---  212 5 ---  283 5 --- }
A76F:      { 212 5 ---  284 5 ---  212 5 ---  285 5 --- }
A770:      { 276 5 ---  286 5 ---  277 5 ---  287 5 --- }
A771:      { 278 5 ---  288 5 ---  279 5 ---  289 5 --- }
A772:      { 27A 5 ---  28A 5 ---  212 5 ---  28B 5 --- }
A773:      { 27B 5 ---  28C 5 ---  27C 5 ---  28D 5 --- }
A774:      { 27C 5 x--  28D 5 x--  27B 5 x--  28C 5 x-- }
A775:      { 212 5 ---  28B 5 x--  27A 5 x--  28A 5 x-- }
A776:      { 279 5 x--  289 5 x--  278 5 x--  288 5 x-- }
A777:      { 277 5 x--  287 5 x--  276 5 x--  286 5 x-- }
A778:      { 212 5 ---  285 5 x--  212 5 ---  284 5 x-- }
A779:      { 212 5 ---  283 5 x--  212 5 ---  282 5 --- }
A77A:      { 212 5 ---  282 5 ---  212 5 ---  281 5 x-- }
A77B:      { 212 5 ---  279 5 x--  212 5 ---  278 5 x-- }
A77C:      { 275 5 x--  280 5 x--  274 5 x--  27F 5 x-- }
A77D:      { 273 5 x--  27E 5 x--  272 5 x--  27D 5 x-- }
A77E:      { 28E 5 ---  2A0 5 ---  28F 5 ---  2A1 5 --- }
A77F:      { 212 5 ---  2A2 5 ---  290 5 ---  2A3 5 --- }
A780:      { 291 5 ---  2A4 5 ---  292 5 ---  2A5 5 --- }
A781:      { 293 5 ---  2A6 5 ---  294 5 ---  2A7 5 --- }
A782:      { 295 5 ---  2A8 5 ---  296 5 ---  2A9 5 --- }
A783:      { 296 5 ---  2AA 5 ---  297 5 ---  2AB 5 --- }
A784:      { 298 5 ---  2AC 5 ---  299 5 ---  2AD 5 --- }
A785:      { 29A 5 ---  2AE 5 ---  29B 5 ---  2AF 5 --- }
A786:      { 29C 5 ---  2B0 5 ---  29D 5 ---  2B1 5 --- }
A787:      { 29E 5 ---  2B2 5 ---  29F 5 ---  2B3 5 --- }
A788:      { 29F 5 x--  2B3 5 x--  29E 5 x--  2B2 5 x-- }
A789:      { 29D 5 x--  2B1 5 x--  29C 5 x--  2B0 5 x-- }
A78A:      { 29B 5 x--  2AF 5 ---  29A 5 x--  2AE 5 x-- }
A78B:      { 299 5 x--  2AD 5 x--  298 5 x--  2AC 5 x-- }
A78C:      { 297 5 x--  2AB 5 x--  296 5 ---  2AA 5 x-- }
A78D:      { 296 5 ---  2A9 5 x--  295 5 x--  2A8 5 x-- }
A78E:      { 294 5 x--  2A7 5 x--  293 5 x--  2A6 5 x-- }
A78F:      { 292 5 x--  2A5 5 x--  291 5 x--  2A4 5 x-- }
A790:      { 290 5 x--  2A3 5 x--  212 5 ---  2A2 5 x-- }
A791:      { 28F 5 x--  2A1 5 x--  28E 5 x--  2A0 5 x-- }
A792:      { 2B4 5 ---  2C8 5 ---  2B5 5 ---  2C9 5 --- }
A793:      { 2B6 5 ---  2CA 5 ---  2B7 5 ---  2CB 5 --- }
A794:      { 2B8 5 ---  2CC 5 ---  2B9 5 ---  2CD 5 --- }
A795:      { 2BA 5 ---  2CE 5 ---  2BB 5 ---  2CF 5 --- }
A796:      { 2BC 5 ---  2D0 5 ---  2BD 5 ---  2D1 5 --- }
A797:      { 2BE 5 ---  2D2 5 ---  2BF 5 ---  2D3 5 --- }
A798:      { 2C0 5 ---  2D4 5 ---  2C1 5 ---  2D5 5 --- }
A799:      { 2C2 5 ---  2D6 5 ---  2C3 5 ---  2D7 5 --- }
A79A:      { 2C4 5 ---  2D8 5 ---  2C5 5 ---  2D9 5 --- }
A79B:      { 2C6 5 ---  2DA 5 ---  2C7 5 ---  212 5 --- }
A79C:      { 2C7 5 x--  212 5 ---  2C6 5 x--  2DA 5 x-- }
A79D:      { 2C5 5 x--  2D9 5 x--  2C4 5 x--  2D8 5 x-- }
A79E:      { 2C3 5 x--  2D7 5 x--  2C2 5 x--  2D6 5 x-- }
A79F:      { 2C1 5 x--  2D5 5 x--  2C0 5 x--  2D4 5 x-- }
A7A0:      { 2BF 5 x--  2D3 5 x--  2BE 5 x--  2D2 5 x-- }
A7A1:      { 2BD 5 x--  2D1 5 x--  2BC 5 x--  2D0 5 x-- }
A7A2:      { 2BB 5 x--  2CF 5 x--  2BA 5 x--  2CE 5 x-- }
A7A3:      { 2B9 5 x--  2CD 5 x--  2B8 5 x--  2CC 5 x-- }
A7A4:      { 2B7 5 x--  2CB 5 ---  2B6 5 x--  2CA 5 x-- }
A7A5:      { 2B5 5 x--  2C9 5 x--  2B4 5 x--  2C8 5 x-- }
A7A6:      { 2DB 5 ---  2EE 5 ---  2DC 5 ---  2EF 5 --- }
A7A7:      { 2DD 5 ---  2F0 5 ---  2DE 5 ---  2F1 5 --- }
A7A8:      { 2DF 5 ---  2F2 5 ---  2E0 5 ---  2F3 5 --- }
A7A9:      { 2E1 5 ---  2F4 5 ---  2E2 5 ---  2F5 5 --- }
A7AA:      { 2E3 5 ---  2F6 5 ---  2E4 5 ---  2F7 5 --- }
A7AB:      { 2E5 5 ---  2F8 5 ---  2E6 5 ---  2F9 5 --- }
A7AC:      { 2E7 5 ---  2FA 5 ---  2E8 5 ---  2FB 5 --- }
A7AD:      { 2E9 5 ---  2FC 5 ---  2EA 5 ---  2FC 5 --- }
A7AE:      { 2EB 5 ---  2FD 5 ---  2EC 5 ---  2FE 5 --- }
A7AF:      { 2ED 5 ---  2FF 5 ---  212 5 ---  212 5 --- }
A7B0:      { 212 5 ---  212 5 ---  2ED 5 x--  2FF 5 x-- }
A7B1:      { 2EC 5 x--  2FE 5 x--  2EB 5 x--  2FD 5 x-- }
A7B2:      { 2EA 5 x--  2FC 5 ---  2E9 5 x--  2FC 5 --- }
A7B3:      { 2E8 5 x--  2FB 5 x--  2E7 5 x--  2FA 5 x-- }
A7B4:      { 2E6 5 x--  2F9 5 x--  2E5 5 x--  2F8 5 x-- }
A7B5:      { 2E4 5 x--  2F7 5 x--  2E3 5 ---  2F6 5 x-- }
A7B6:      { 2E2 5 x--  2F5 5 x--  2E1 5 x--  2F4 5 x-- }
A7B7:      { 2E0 5 x--  2F3 5 x--  2DF 5 x--  2F2 5 --- }
A7B8:      { 2DE 5 x--  2F1 5 x--  2DD 5 x--  2F0 5 x-- }
A7B9:      { 2DC 5 x--  2EF 5 x--  2DB 5 x--  2EE 5 x-- }
A7BA:      { 0F8 0 ---  0F8 0 ---  0F8 0 ---  0F8 0 --- }
A7BB: ~
A7BC: ~
A7BD: ~
A7BE: ~
A7BF: ~
A7C0: ~
A7C1: ~
A7C2: ~
A7C3: ~
A7C4: ~
A7C5: ~
A7C6: ~
A7C7: ~
A7C8: ~
A7C9: ~
A7CA: ~
A7CB: ~
A7CC: ~
A7CD: ~
A7CE: ~
A7CF: ~
A7D0: ~
A7D1: ~
A7D2: ~
A7D3: ~
A7D4: ~
A7D5: ~
A7D6: ~
A7D7: ~
A7D8: ~
A7D9: ~
A7DA: ~
A7DB: ~
A7DC: ~
A7DD: ~
A7DE: ~
A7DF: ~
A7E0: ~
A7E1: ~
A7E2: ~
A7E3: ~
A7E4: ~
A7E5: ~
A7E6: ~
A7E7: ~
A7E8: ~
A7E9: ~
A7EA: ~
A7EB: ~
A7EC: ~
A7ED: ~
A7EE: ~
A7EF: ~
A7F0: ~
A7F1: ~
A7F2: ~
A7F3: ~
A7F4: ~
A7F5: ~
A7F6: ~
A7F7: ~
A7F8: ~
A7F9: ~
A7FA: ~
A7FB: ~
A7FC: ~
A7FD: ~
A7FE: ~
A7FF: ~
