E300:      { 199 1 ---  1A3 1 ---  19A 1 ---  1A4 1 --- }
E34C:      { 0D3 0 ---  104 0 ---  0D4 0 ---  105 0 --- }
E34D:      { 0D5 0 ---  106 0 ---  0D6 0 ---  107 0 --- }
E34E:      { 0D7 0 ---  108 0 ---  0D8 0 ---  109 0 --- }
E34F:      { 0D9 0 ---  10A 0 ---  0DE 0 ---  10B 0 --- }
E350:      { 10C 0 ---  12C 0 ---  10D 0 ---  12D 0 --- }
E351:      { 10E 0 ---  12E 0 ---  10F 0 ---  12F 0 --- }
E352:      { 110 0 ---  130 0 ---  111 0 ---  131 0 --- }
E353:      { 112 0 ---  132 0 ---  113 0 ---  133 0 --- }
E354:      { 114 0 ---  134 0 ---  115 0 ---  135 0 --- }
E355:      { 116 0 ---  136 0 ---  117 0 ---  137 0 --- }
E356:      { 118 0 ---  138 0 ---  119 0 ---  139 0 --- }
E357:      { 11A 0 ---  13A 0 ---  11B 0 ---  13B 0 --- }
E358:      { 11C 0 ---  13C 0 ---  11D 0 ---  13D 0 --- }
E359:      { 11E 0 ---  13E 0 ---  11F 0 ---  13F 0 --- }
E35A:      { 120 0 ---  140 0 ---  121 0 ---  141 0 --- }
E35B:      { 122 0 ---  142 0 ---  123 0 ---  143 0 --- }
E35C:      { 124 0 ---  144 0 ---  125 0 ---  145 0 --- }
E35D:      { 126 0 ---  146 0 ---  127 0 ---  147 0 --- }
E35E:      { 128 0 ---  148 0 ---  129 0 ---  149 0 --- }
E35F:      { 12A 0 ---  14A 0 ---  12B 0 ---  14B 0 --- }
E360:      { 14C 0 ---  16C 0 ---  14D 0 ---  16D 0 --- }
E361:      { 14E 0 ---  16E 0 ---  14F 0 ---  16F 0 --- }
E362:      { 150 0 ---  170 0 ---  151 0 ---  171 0 --- }
E363:      { 152 0 ---  172 0 ---  153 0 ---  173 0 --- }
E364:      { 154 0 ---  174 0 ---  155 0 ---  175 0 --- }
E365:      { 156 0 ---  176 0 ---  157 0 ---  177 0 --- }
E366:      { 158 0 ---  178 0 ---  159 0 ---  179 0 --- }
E367:      { 15A 0 ---  17A 0 ---  15B 0 ---  17B 0 --- }
E368:      { 15C 0 ---  17C 0 ---  15D 0 ---  17D 0 --- }
E369:      { 15E 0 ---  17E 0 ---  15F 0 ---  17F 0 --- }
E36A:      { 160 0 ---  188 0 ---  161 0 ---  189 0 --- }
E36B:      { 162 0 ---  18A 0 ---  163 0 ---  18B 0 --- }
E36C:      { 164 0 ---  18C 0 ---  165 0 ---  18D 0 --- }
E36D:      { 166 0 ---  18E 0 ---  167 0 ---  18F 0 --- }
E36E:      { 168 0 ---  198 0 ---  169 0 ---  199 0 --- }
E36F:      { 16A 0 ---  19A 0 ---  16B 0 ---  19B 0 --- }
E370:      { 19C 0 ---  1BC 0 ---  19D 0 ---  1BD 0 --- }
E371:      { 19E 0 ---  1BE 0 ---  19F 0 ---  1BF 0 --- }
E372:      { 1A0 0 ---  1C0 0 ---  1A1 0 ---  1C1 0 --- }
E373:      { 1A2 0 ---  1C2 0 ---  1A3 0 ---  1C3 0 --- }
E374:      { 1A4 0 ---  1C4 0 ---  1A5 0 ---  1C5 0 --- }
E375:      { 1A6 0 ---  1C6 0 ---  1A7 0 ---  1C7 0 --- }
E376:      { 1A8 0 ---  1C8 0 ---  1A9 0 ---  1C9 0 --- }
E377:      { 1AA 0 ---  1CA 0 ---  1AB 0 ---  1CB 0 --- }
E378:      { 1AC 0 ---  1CC 0 ---  1AD 0 ---  1CD 0 --- }
E379:      { 1AE 0 ---  1CE 0 ---  1AF 0 ---  1CF 0 --- }
E37A:      { 1B0 0 ---  1D0 0 ---  1B1 0 ---  1D1 0 --- }
E37B:      { 1B2 0 ---  1D2 0 ---  1B3 0 ---  1D3 0 --- }
E37C:      { 1B4 0 ---  1D4 0 ---  1B5 0 ---  1D5 0 --- }
E37D:      { 1B6 0 ---  1D6 0 ---  1B7 0 ---  1D7 0 --- }
E37E:      { 1B8 0 ---  1D8 0 ---  1B9 0 ---  1D9 0 --- }
E37F:      { 1BA 0 ---  1DA 0 ---  1BB 0 ---  1DB 0 --- }
E380:      { 1DC 0 ---  1FC 0 ---  1DD 0 ---  1FD 0 --- }
E381:      { 1DE 0 ---  1FE 0 ---  1DF 0 ---  1FF 0 --- }
E382:      { 1E0 0 ---  20A 0 ---  1E1 0 ---  20B 0 --- }
E383:      { 1E2 0 ---  21A 0 ---  1E3 0 ---  21B 0 --- }
E384:      { 1E4 0 ---  226 0 ---  1E5 0 ---  227 0 --- }
E385:      { 1E6 0 ---  228 0 ---  1E7 0 ---  229 0 --- }
E386:      { 1E8 0 ---  22A 0 ---  1E9 0 ---  22B 0 --- }
E387:      { 1EA 0 ---  236 0 ---  1EB 0 ---  237 0 --- }
E388:      { 1EC 0 ---  238 0 ---  1ED 0 ---  239 0 --- }
E389:      { 1EE 0 ---  23A 0 ---  1EF 0 ---  23B 0 --- }
E38A:      { 1F0 0 ---  24A 0 ---  1F1 0 ---  24B 0 --- }
E38B:      { 1F2 0 ---  25A 0 ---  1F3 0 ---  25B 0 --- }
E38C:      { 1F4 0 ---  260 0 ---  1F5 0 ---  261 0 --- }
E38D:      { 1F6 0 ---  262 0 ---  1F7 0 ---  263 0 --- }
E38E:      { 1F8 0 ---  264 0 ---  1F9 0 ---  265 0 --- }
E38F:      { 1FA 0 ---  266 0 ---  1FB 0 ---  267 0 --- }
E390:      { 268 0 ---  2A0 0 ---  269 0 ---  2A1 0 --- }
E391:      { 26A 0 ---  2A2 0 ---  26B 0 ---  2A3 0 --- }
E392:      { 270 0 ---  2A4 0 ---  271 0 ---  2A5 0 --- }
E393:      { 272 0 ---  2A6 0 ---  273 0 ---  2A7 0 --- }
E394:      { 274 0 ---  2A8 0 ---  275 0 ---  2A9 0 --- }
E395:      { 276 0 ---  2AA 0 ---  277 0 ---  2AB 0 --- }
E396:      { 278 0 ---  2AC 0 ---  279 0 ---  2AD 0 --- }
E397:      { 27A 0 ---  2AE 0 ---  27B 0 ---  2AF 0 --- }
E398:      { 288 0 ---  2B0 0 ---  289 0 ---  2B1 0 --- }
E399:      { 28A 0 ---  2B2 0 ---  28B 0 ---  2B3 0 --- }
E39A:      { 28C 0 ---  2B4 0 ---  28D 0 ---  2B5 0 --- }
E39B:      { 28E 0 ---  2B6 0 ---  28F 0 ---  2B7 0 --- }
E39C:      { 298 0 ---  2B8 0 ---  299 0 ---  2B9 0 --- }
E39D:      { 29A 0 ---  2BA 0 ---  29B 0 ---  2BB 0 --- }
E39E:      { 29C 0 ---  2BC 0 ---  29D 0 ---  2BD 0 --- }
E39F:      { 29E 0 ---  2BE 0 ---  29F 0 ---  2BF 0 --- }
E3A0:      { 2C0 0 ---  2E0 0 ---  2C1 0 ---  2E1 0 --- }
E3A1:      { 2C2 0 ---  2E2 0 ---  2C3 0 ---  2E3 0 --- }
E3A2:      { 2C4 0 ---  2E4 0 ---  2C5 0 ---  2E5 0 --- }
E3A3:      { 2C6 0 ---  2E6 0 ---  2C7 0 ---  2E7 0 --- }
E3A4:      { 2C8 0 ---  2E8 0 ---  2C9 0 ---  2E9 0 --- }
E3A5:      { 2CA 0 ---  2EA 0 ---  2CB 0 ---  2EB 0 --- }
E3A6:      { 2CC 0 ---  2EC 0 ---  2CD 0 ---  2ED 0 --- }
E3A7:      { 2CE 0 ---  2EE 0 ---  2CF 0 ---  2EF 0 --- }
E3A8:      { 2D0 0 ---  2F0 0 ---  2D1 0 ---  2F1 0 --- }
E3A9:      { 2D2 0 ---  2F2 0 ---  2D3 0 ---  2F3 0 --- }
E3AA:      { 2D4 0 ---  2F4 0 ---  2D5 0 ---  2F5 0 --- }
E3AB:      { 2D6 0 ---  2F6 0 ---  2D7 0 ---  2F7 0 --- }
E3AC:      { 2D8 0 ---  2F8 0 ---  2D9 0 ---  2F9 0 --- }
E3AD:      { 2DA 0 ---  2FA 0 ---  2DB 0 ---  2FB 0 --- }
E3AE:      { 2DC 0 ---  2FC 0 ---  2DD 0 ---  2FD 0 --- }
E3AF:      { 2DE 0 ---  2FE 0 ---  2DF 0 ---  2FF 0 --- }
E3B0: ~
E3B1: ~
E3B2: ~
E3B3: ~
E3B4: ~
E3B5: ~
E3B6: ~
E3B7: ~
E3B8: ~
E3B9: ~
E3BA: ~
E3BB: ~
E3BC: ~
E3BD: ~
E3BE: ~
E3BF: ~
E3C0: ~
E3C1: ~
E3C2: ~
E3C3: ~
E3C4: ~
E3C5: ~
E3C6: ~
E3C7: ~
E3C8: ~
E3C9: ~
E3CA: ~
E3CB: ~
E3CC: ~
E3CD: ~
E3CE: ~
E3CF: ~
E3D0: ~
E3D1: ~
E3D2: ~
E3D3: ~
E3D4: ~
E3D5: ~
E3D6: ~
E3D7: ~
E3D8: ~
E3D9: ~
E3DA: ~
E3DB: ~
E3DC: ~
E3DD: ~
E3DE: ~
E3DF: ~
E3E0: ~
E3E1: ~
E3E2: ~
E3E3: ~
E3E4: ~
E3E5: ~
E3E6: ~
E3E7: ~
E3E8: ~
E3E9: ~
E3EA: ~
E3EB: ~
E3EC: ~
E3ED: ~
E3EE: ~
E3EF: ~
E3F0: ~
E3F1: ~
E3F2: ~
E3F3: ~
E3F4: ~
E3F5: ~
E3F6: ~
E3F7: ~
E3F8: ~
E3F9: ~
E3FA: ~
E3FB: ~
E3FC: ~
E3FD: ~
E3FE: ~
E3FF: ~
