B700:      { 100 3 ---  110 3 ---  101 3 ---  111 3 --- }
B74D:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B74E:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B74F:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B750:      { 10C 3 ---  11C 3 ---  10D 3 ---  11D 3 --- }
B751:      { 10E 3 ---  11E 3 ---  10F 3 ---  11F 3 --- }
B752:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B753:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B754:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B755:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B756:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B757:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B758:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B759:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B75A:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B75B:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B75C:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B75D:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B75E:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B75F:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B760:      { 12C 3 ---  13C 3 ---  12D 3 ---  13D 3 --- }
B761:      { 12E 3 ---  13E 3 ---  12F 3 ---  13F 3 --- }
B762:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B763:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B764:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B765:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B766:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B767:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B768:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B769:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B76A:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B76B:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B76C:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B76D:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B76E:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B76F:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B770:      { 14C 3 ---  15C 3 ---  14D 3 ---  15D 3 --- }
B771:      { 14E 3 ---  15E 3 ---  14F 3 ---  15F 3 --- }
B772:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B773:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B774:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B775:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B776:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B777:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B778:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B779:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B77A:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B77B:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B77C:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B77D:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B77E:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B77F:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B780:      { 0FA 3 ---  0FA 3 ---  14F 3 ---  15F 3 --- }
B781:      { 14C 3 ---  0FA 3 ---  14D 3 ---  15D 3 --- }
B782:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B783:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B784:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B785:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B786:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B787:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B788:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B789:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B78A:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B78B:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B78C:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B78D:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B78E:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B78F:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B790:      { 0FA 3 ---  0FA 3 ---  0FA 3 ---  0FA 3 --- }
B791:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B792:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B793:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B794:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B795:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B796:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B797:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B798:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B799:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B79A:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B79B:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B79C:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B79D:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B79E:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B79F:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7A0:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7A1:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7A2:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7A3:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7A4:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7A5:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7A6:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7A7:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7A8:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7A9:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7AA:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7AB:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7AC:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7AD:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7AE:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7AF:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7B0:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7B1:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7B2:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7B3:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7B4:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7B5:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7B6:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7B7:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7B8:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7B9:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7BA:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7BB:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7BC:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7BD:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7BE:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7BF:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7C0:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7C1:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7C2:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7C3:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7C4:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7C5:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7C6:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7C7:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7C8:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7C9:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7CA:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7CB:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7CC:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7CD:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7CE:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7CF:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7D0:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7D1:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7D2:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7D3:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7D4:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7D5:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7D6:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7D7:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7D8:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7D9:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7DA:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7DB:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7DC:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7DD:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7DE:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7DF:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7E0:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7E1:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7E2:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7E3:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7E4:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7E5:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7E6:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7E7:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7E8:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7E9:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7EA:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7EB:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7EC:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7ED:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7EE:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7EF:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7F0:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7F1:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7F2:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7F3:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7F4:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7F5:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7F6:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7F7:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7F8:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7F9:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7FA:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7FB:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7FC:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7FD:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7FE:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
B7FF:      { 004 2 ---  004 2 ---  004 2 ---  004 2 --- }
