D300:      { 217 7 ---  22D 7 ---  218 7 ---  22E 7 --- }
D359:      { 201 7 x--  213 7 ---  200 7 x--  214 7 --- }
D35A:      { 206 7 ---  215 7 ---  207 7 ---  216 7 --- }
D35B:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D35C:      { 272 7 ---  275 7 ---  279 7 ---  276 7 --- }
D35D:      { 279 7 ---  277 7 ---  273 7 ---  278 7 --- }
D35E:      { 274 7 ---  208 7 ---  201 7 ---  200 7 --- }
D35F:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D360:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D361:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D362:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D363:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D364:      { 208 7 -y-  200 7 -y-  21E 7 ---  232 7 --- }
D365:      { 21F 7 ---  233 7 ---  220 7 ---  200 7 xy- }
D366:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D367:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D368:      { 208 7 -y-  200 7 -y-  226 7 ---  238 7 --- }
D369:      { 227 7 ---  239 7 ---  228 7 ---  200 7 xy- }
D36A:      { 229 7 ---  200 7 -y-  22A 7 ---  23A 7 --- }
D36B:      { 22B 7 ---  23B 7 ---  22C 7 ---  23C 7 --- }
D36C:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D36D:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D36E:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D36F:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D370:      { 200 7 ---  208 7 ---  201 7 ---  20C 7 --- }
D371:      { 201 7 x--  20D 7 ---  200 7 x--  20E 7 --- }
D372:      { 200 7 ---  208 7 ---  241 7 ---  254 7 --- }
D373:      { 242 7 ---  255 7 ---  200 7 x--  208 7 x-- }
D374:      { 200 7 ---  208 7 ---  201 7 ---  26A 7 --- }
D375:      { 201 7 x--  26B 7 ---  200 7 x--  208 7 x-- }
D376:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D377:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D378:      { 249 7 ---  25C 7 ---  24A 7 ---  25D 7 --- }
D379:      { 24B 7 ---  25E 7 ---  200 7 x--  25F 7 --- }
D37A:      { 24C 7 ---  260 7 ---  24D 7 ---  200 7 --- }
D37B:      { 24E 7 ---  200 7 x--  200 7 x--  208 7 x-- }
D37C:      { 200 7 ---  208 7 ---  201 7 ---  20C 7 --- }
D37D:      { 201 7 x--  20D 7 ---  200 7 x--  20E 7 --- }
D37E:      { 247 7 ---  25A 7 ---  248 7 ---  25B 7 --- }
D37F:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D380:      { 208 7 -y-  200 7 -y-  21E 7 ---  232 7 --- }
D381:      { 21F 7 ---  233 7 ---  220 7 ---  200 7 xy- }
D382:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D383:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D384:      { 26C 7 ---  26F 7 ---  26D 7 ---  279 7 --- }
D385:      { 279 7 ---  279 7 ---  26E 7 ---  270 7 --- }
D386:      { 208 7 -y-  271 7 ---  200 7 -y-  201 7 -y- }
D387:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D388:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D389:      { 261 7 ---  201 7 xy-  262 7 ---  264 7 --- }
D38A:      { 263 7 ---  265 7 ---  200 7 -y-  201 7 -y- }
D38B:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D38C:      { 208 7 -y-  200 7 -y-  21E 7 ---  232 7 --- }
D38D:      { 21F 7 ---  233 7 ---  220 7 ---  200 7 xy- }
D38E:      { 208 7 -y-  234 7 ---  221 7 ---  235 7 --- }
D38F:      { 222 7 ---  236 7 ---  208 7 xy-  237 7 --- }
D390:      { 200 7 ---  208 7 ---  242 7 x--  255 7 x-- }
D391:      { 241 7 x--  254 7 x--  200 7 x--  208 7 x-- }
D392:      { 248 7 x--  25B 7 x--  247 7 x--  25A 7 x-- }
D393:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D394:      { 272 7 ---  275 7 ---  279 7 ---  276 7 --- }
D395:      { 279 7 ---  277 7 ---  273 7 ---  278 7 --- }
D396:      { 274 7 ---  208 7 ---  201 7 ---  200 7 --- }
D397:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D398:      { 200 7 ---  208 7 ---  201 7 ---  20C 7 --- }
D399:      { 201 7 x--  20D 7 ---  200 7 x--  20E 7 --- }
D39A:      { 247 7 ---  25A 7 ---  248 7 ---  25B 7 --- }
D39B:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D39C:      { 200 7 ---  208 7 ---  241 7 ---  254 7 --- }
D39D:      { 242 7 ---  255 7 ---  200 7 x--  208 7 x-- }
D39E:      { 243 7 ---  256 7 ---  244 7 ---  257 7 --- }
D39F:      { 245 7 ---  258 7 ---  246 7 ---  259 7 --- }
D3A0:      { 201 7 x--  209 7 ---  202 7 ---  20A 7 --- }
D3A1:      { 203 7 ---  20B 7 ---  201 7 ---  200 7 --- }
D3A2:      { 201 7 x--  20F 7 ---  204 7 ---  210 7 --- }
D3A3:      { 205 7 ---  211 7 ---  201 7 ---  200 7 --- }
D3A4: ~
D3A5: ~
D3A6: ~
D3A7: ~
D3A8:      { 208 7 -y-  200 7 -y-  21E 7 ---  232 7 --- }
D3A9:      { 21F 7 ---  233 7 ---  220 7 ---  200 7 xy- }
D3AA:      { 200 7 ---  208 7 ---  201 7 ---  200 7 --- }
D3AB: ~
D3AC: ~
D3AD: ~
D3AE: ~
D3AF: ~
D3B0: ~
D3B1: ~
D3B2: ~
D3B3: ~
D3B4: ~
D3B5: ~
D3B6: ~
D3B7: ~
D3B8: ~
D3B9: ~
D3BA: ~
D3BB: ~
D3BC: ~
D3BD: ~
D3BE: ~
D3BF: ~
D3C0: ~
D3C1: ~
D3C2: ~
D3C3: ~
D3C4: ~
D3C5: ~
D3C6: ~
D3C7: ~
D3C8: ~
D3C9: ~
D3CA: ~
D3CB: ~
D3CC: ~
D3CD: ~
D3CE: ~
D3CF: ~
D3D0: ~
D3D1: ~
D3D2: ~
D3D3: ~
D3D4: ~
D3D5: ~
D3D6: ~
D3D7: ~
D3D8: ~
D3D9: ~
D3DA: ~
D3DB: ~
D3DC: ~
D3DD: ~
D3DE: ~
D3DF: ~
D3E0: ~
D3E1: ~
D3E2: ~
D3E3: ~
D3E4: ~
D3E5: ~
D3E6: ~
D3E7: ~
D3E8: ~
D3E9: ~
D3EA: ~
D3EB: ~
D3EC: ~
D3ED: ~
D3EE: ~
D3EF: ~
D3F0: ~
D3F1: ~
D3F2: ~
D3F3: ~
D3F4: ~
D3F5: ~
D3F6: ~
D3F7: ~
D3F8: ~
D3F9: ~
D3FA: ~
D3FB: ~
D3FC: ~
D3FD: ~
D3FE: ~
D3FF: ~
