4700: 0025 { 0F8 0 ---  093 0 ---  0F8 0 ---  094 0 --- }
4721: 0025 { 194 2 ---  1D1 2 -y-  1D1 2 -y-  0F8 2 --- }
4722: 0025 { 0F8 2 ---  1D1 2 x--  1D0 2 ---  193 2 --- }
4723: 0025 { 1C0 2 x--  192 2 ---  0F8 2 ---  1D1 2 --- }
4724: 0025 { 0F8 2 ---  0F8 2 ---  1D1 2 x--  1C0 2 --- }
4725: 0025 { 1D1 2 ---  1D0 2 x--  0F8 2 ---  0F8 2 --- }
4726: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4727: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4728: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4729: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
472A: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
472B: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
472C: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
472D: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
472E: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
472F: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4730: 0025 { 0F8 2 ---  0F8 2 ---  1D0 2 ---  1C0 2 --- }
4731: 0025 { 1C0 2 x--  1D0 2 x--  0F8 2 ---  0F8 2 --- }
4732: 0025 { 1D1 2 x--  1D0 2 ---  195 2 ---  193 2 --- }
4733: 0025 { 194 2 ---  192 2 ---  1D1 2 ---  1D0 2 x-- }
4734: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4735: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4736: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4737: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4738: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4739: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
473A: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
473B: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
473C: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
473D: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
473E: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
473F: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4740: 0ED0 { 0F8 5 ---  0F8 5 ---  154 5 ---  155 5 --- }
4741: 0ED1 { 154 5 x--  155 5 x--  0F8 5 x--  0F8 5 x-- }
4742: 0025 { 1C0 2 ---  1D1 2 xy-  195 2 ---  193 2 --- }
4743: 0025 { 194 2 ---  192 2 ---  1C0 2 x--  1D1 2 -y- }
4744: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4745: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4746: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4747: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4748: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4749: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
474A: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
474B: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
474C: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
474D: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
474E: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
474F: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4750: 0025 { 160 2 ---  170 2 ---  161 2 ---  171 2 --- }
4751: 0025 { 162 2 ---  172 2 ---  161 2 ---  171 2 --- }
4752: 0025 { 162 2 ---  172 2 ---  163 2 ---  173 2 --- }
4753: 0025 { 160 2 ---  170 2 ---  163 2 ---  173 2 --- }
4754: 0025 { 146 2 ---  172 2 ---  165 2 ---  171 2 --- }
4755: 0025 { 166 2 ---  172 2 ---  147 2 ---  171 2 --- }
4756: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4757: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4758: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4759: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
475A: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
475B: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
475C: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
475D: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
475E: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
475F: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4760: 0025 { 164 2 ---  170 2 ---  165 2 ---  171 2 --- }
4761: 0025 { 166 2 ---  172 2 ---  165 2 ---  171 2 --- }
4762: 0025 { 166 2 ---  172 2 ---  167 2 ---  173 2 --- }
4763: 0025 { 164 2 ---  170 2 ---  167 2 ---  173 2 --- }
4764: 0025 { 166 2 ---  156 2 ---  165 2 ---  171 2 --- }
4765: 0025 { 166 2 ---  172 2 ---  165 2 ---  157 2 --- }
4766: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4767: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4768: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4769: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
476A: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
476B: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
476C: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
476D: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
476E: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
476F: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4770: 0025 { 164 2 ---  174 2 ---  165 2 ---  175 2 --- }
4771: 0025 { 166 2 ---  176 2 ---  165 2 ---  175 2 --- }
4772: 0025 { 166 2 ---  176 2 ---  167 2 ---  177 2 --- }
4773: 0025 { 164 2 ---  174 2 ---  167 2 ---  177 2 --- }
4774: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4775: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4776: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4777: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4778: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4779: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
477A: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
477B: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
477C: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
477D: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
477E: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
477F: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4780: 0025 { 160 2 ---  174 2 ---  161 2 ---  175 2 --- }
4781: 0025 { 162 2 ---  176 2 ---  161 2 ---  175 2 --- }
4782: 0025 { 162 2 ---  176 2 ---  163 2 ---  177 2 --- }
4783: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4784: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4785: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4786: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4787: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4788: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4789: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
478A: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
478B: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
478C: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
478D: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
478E: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
478F: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4790: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4791: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4792: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4793: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4794: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4795: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4796: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4797: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4798: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
4799: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
479A: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
479B: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
479C: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
479D: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
479E: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
479F: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47A0: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47A1: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47A2: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47A3: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47A4: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47A5: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47A6: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47A7: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47A8: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47A9: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47AA: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47AB: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47AC: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47AD: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47AE: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47AF: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47B0: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47B1: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47B2: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47B3: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47B4: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47B5: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47B6: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47B7: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47B8: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47B9: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47BA: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47BB: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47BC: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47BD: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47BE: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47BF: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47C0: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47C1: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47C2: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47C3: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47C4: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47C5: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47C6: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47C7: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47C8: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47C9: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47CA: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47CB: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47CC: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47CD: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47CE: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47CF: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47D0: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47D1: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47D2: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47D3: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47D4: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47D5: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47D6: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47D7: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47D8: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47D9: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47DA: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47DB: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47DC: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47DD: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47DE: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47DF: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47E0: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47E1: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47E2: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47E3: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47E4: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47E5: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47E6: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47E7: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47E8: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47E9: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47EA: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47EB: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47EC: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47ED: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47EE: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47EF: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47F0: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47F1: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47F2: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47F3: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47F4: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47F5: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47F6: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47F7: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47F8: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47F9: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47FA: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47FB: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47FC: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47FD: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47FE: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
47FF: 0130 { 004 6 ---  004 6 ---  004 6 ---  004 6 --- }
