0400: 0025 { 0F8 2 ---  1AA 2 ---  0F8 2 ---  1AB 2 --- }
042C: 0025 { 0F8 5 ---  0F8 5 ---  1D0 5 ---  1E0 5 --- }
042D: 0025 { 1D1 5 ---  1E1 5 ---  0F8 5 ---  0F8 5 --- }
042E: 0025 { 197 2 ---  19D 2 ---  198 2 ---  19A 2 --- }
042F: 0130 { 24F 6 ---  24F 6 ---  24F 6 ---  24F 6 --- }
0430: 0025 { 1C2 2 ---  1C6 2 ---  1C3 2 ---  1C7 2 --- }
0431: 0025 { 1C4 2 ---  1C8 2 ---  1C5 2 ---  1C9 2 --- }
0432: 0025 { 0F8 2 ---  0F8 2 ---  1D4 2 ---  1D8 2 --- }
0433: 0025 { 1D5 2 ---  1D9 2 ---  1EA 2 ---  1EC 2 --- }
0434: 0025 { 1EB 2 ---  1ED 2 ---  1D6 2 ---  1DA 2 --- }
0435: 0025 { 1D7 2 ---  1DB 2 ---  0F8 2 ---  0F8 2 --- }
0436: 0025 { 0F8 4 ---  0F8 4 ---  0F8 4 ---  0F8 4 --- }
0437: 0025 { 21E 2 ---  223 2 ---  21F 2 ---  224 2 --- }
0438: 0025 { 220 2 ---  225 2 ---  221 2 ---  226 2 --- }
0439: 0025 { 222 2 ---  0F8 2 ---  0F8 2 ---  0F8 2 --- }
043A: 0025 { 0F8 5 ---  0F8 5 ---  1C0 5 ---  1D0 5 --- }
043B: 0025 { 1C1 5 ---  1D1 5 ---  0F8 5 ---  0F8 5 --- }
043C: 0025 { 0F8 5 ---  19E 5 ---  0F8 5 ---  19F 5 --- }
043D: 0025 { 0F8 5 ---  1A4 5 ---  0F8 5 ---  1A5 5 --- }
043E: 0025 { 0F8 5 x--  1A5 5 x--  0F8 5 x--  1A4 5 x-- }
043F: 0025 { 0F8 5 x--  19F 5 x--  0F8 5 x--  19E 5 x-- }
0440: 0025 { 1CA 2 ---  1CE 2 ---  1CB 2 ---  1CF 2 --- }
0441: 0025 { 1CC 2 ---  1D2 2 ---  1CD 2 ---  1D3 2 --- }
0442: 0025 { 1B8 2 ---  1BC 2 ---  1B9 2 ---  1BD 2 --- }
0443: 0025 { 1DC 2 ---  1DE 2 ---  1DD 2 ---  1DF 2 --- }
0444: 0025 { 1DC 2 ---  1DE 2 ---  1DD 2 ---  1DF 2 --- }
0445: 0025 { 1BA 2 ---  1BE 2 ---  1BB 2 ---  1BF 2 --- }
0446: 0025 { 0F8 6 ---  1EE 6 ---  0F8 6 ---  1EF 6 --- }
0447: 0025 { 0F8 6 ---  1F0 6 ---  0F8 6 ---  1EF 6 --- }
0448: 0025 { 0F8 6 ---  1F0 6 ---  0F8 6 ---  1F1 6 --- }
0449: 0133 { 227 2 ---  22B 2 ---  228 2 ---  22C 2 --- }
044A: 0134 { 229 2 ---  22D 2 ---  22A 2 ---  22E 2 --- }
044B: ~
044C: 0025 { 1A6 5 ---  0F8 5 ---  1A7 5 ---  1A9 5 --- }
044D: 0025 { 1A8 5 ---  0F8 5 ---  0F8 5 ---  0F8 5 --- }
044E: 0025 { 0F8 5 x--  0F8 5 x--  1A8 5 x--  0F8 5 x-- }
044F: 0025 { 1A7 5 x--  1A9 5 x--  1A6 5 x--  0F8 5 x-- }
0450: 0025 { 1D4 2 ---  1D8 2 ---  1D5 2 ---  1D9 2 --- }
0451: 0025 { 1D6 2 ---  1DA 2 ---  1D7 2 ---  1DB 2 --- }
0452: 0025 { 1C2 2 ---  1C6 2 ---  1C3 2 ---  1C7 2 --- }
0453: 0025 { 1E2 2 ---  1E4 2 ---  1E3 2 ---  1E5 2 --- }
0454: 0025 { 1E2 2 ---  1E4 2 ---  1E3 2 ---  1E5 2 --- }
0455: 0025 { 1C4 2 ---  1C8 2 ---  1C5 2 ---  1C9 2 --- }
0456: 0106 { 1F2 6 ---  1F6 6 ---  1F3 6 ---  1F7 6 --- }
0457: 0106 { 1F4 6 ---  1F8 6 ---  1F3 6 ---  1F7 6 --- }
0458: 0106 { 1F4 6 ---  1F8 6 ---  1F5 6 ---  1F9 6 --- }
0459: 0135 { 22F 2 ---  233 2 ---  230 2 ---  234 2 --- }
045A: 0136 { 231 2 ---  235 2 ---  232 2 ---  236 2 --- }
045B: 0135 { 22B 2 -y-  22F 2 -y-  22C 2 -y-  230 2 -y- }
045C: 0136 { 22D 2 -y-  231 2 -y-  22E 2 -y-  232 2 -y- }
045D: 0130 { 180 6 ---  190 6 ---  181 6 ---  191 6 --- }
045E: 0130 { 182 6 ---  192 6 ---  181 6 ---  191 6 --- }
045F: 0130 { 182 6 ---  192 6 ---  183 6 ---  193 6 --- }
0460: 0025 { 0F8 4 ---  0F8 4 ---  0F8 4 ---  254 4 --- }
0461: 0025 { 0F8 4 ---  255 4 ---  0F8 4 ---  0F8 4 --- }
0462: 0025 { 1CA 2 ---  1CE 2 ---  1CB 2 ---  1CF 2 --- }
0463: 0025 { 1E6 2 ---  1E8 2 ---  1E7 2 ---  1E9 2 --- }
0464: 0025 { 1E6 2 ---  1E8 2 ---  1E7 2 ---  1E9 2 --- }
0465: 0025 { 1CC 2 ---  1D2 2 ---  1CD 2 ---  1D3 2 --- }
0466: 0025 { 0F8 4 ---  26E 4 ---  0F8 4 ---  26F 4 --- }
0467: 0137 { 227 2 ---  22B 2 ---  228 2 ---  22C 2 --- }
0468: 0138 { 229 2 ---  22D 2 ---  22A 2 ---  22E 2 --- }
0469: 0135 { 22F 2 ---  22B 2 ---  230 2 ---  22C 2 --- }
046A: 0136 { 231 2 ---  22D 2 ---  232 2 ---  22E 2 --- }
046B: 0135 { 233 2 -y-  22F 2 -y-  234 2 -y-  230 2 -y- }
046C: 0136 { 235 2 -y-  231 2 -y-  236 2 -y-  232 2 -y- }
046D: 0130 { 1A0 6 ---  190 6 ---  1A1 6 ---  191 6 --- }
046E: 0130 { 1A2 6 ---  192 6 ---  1A1 6 ---  191 6 --- }
046F: 0130 { 1A2 6 ---  192 6 ---  1A3 6 ---  193 6 --- }
0470: 016E { 256 4 ---  25A 4 ---  257 4 ---  25B 4 --- }
0471: 0191 { 258 4 ---  25C 4 ---  259 4 ---  25D 4 --- }
0472: 0025 { 1D4 2 ---  1D8 2 ---  1D5 2 ---  1D9 2 --- }
0473: 0025 { 1EA 2 ---  1EC 2 ---  1EB 2 ---  1ED 2 --- }
0474: 0025 { 1EA 2 ---  1EC 2 ---  1EB 2 ---  1ED 2 --- }
0475: 0025 { 1D6 2 ---  1DA 2 ---  1D7 2 ---  1DB 2 --- }
0476: 0106 { 270 4 ---  272 4 ---  271 4 ---  273 4 --- }
0477: 0137 { 22B 2 -y-  227 2 -y-  22C 2 -y-  228 2 -y- }
0478: 0138 { 22D 2 -y-  229 2 -y-  22E 2 -y-  22A 2 -y- }
0479: ~
047A: ~
047B: 0139 { 22B 2 -y-  227 2 -y-  22C 2 -y-  228 2 -y- }
047C: 013A { 22D 2 -y-  229 2 -y-  22E 2 -y-  22A 2 -y- }
047D: 0130 { 250 5 ---  252 5 ---  251 5 ---  253 5 --- }
047E: 0130 { 250 6 ---  252 6 ---  251 6 ---  253 6 --- }
047F: 0130 { 2CE 5 ---  2D0 5 ---  2CF 5 ---  2D1 5 --- }
0480: 01D8 { 25E 4 ---  262 4 ---  25F 4 ---  263 4 --- }
0481: 01DC { 260 4 ---  264 4 ---  261 4 ---  265 4 --- }
0482: ~
0483: 0025 { 1B8 2 ---  1BC 2 ---  1B9 2 ---  1BD 2 --- }
0484: 0025 { 1BA 2 ---  1BE 2 ---  1BB 2 ---  1BF 2 --- }
0485: ~
0486: 0025 { 274 4 ---  0F8 4 ---  275 4 ---  0F8 4 --- }
0487: ~
0488: 013B { 237 2 ---  23D 2 ---  238 2 ---  23E 2 --- }
0489: 013B { 238 2 x--  23E 2 x--  237 2 x--  23D 2 x-- }
048A: 013B { 237 2 ---  23D 2 ---  238 2 ---  23E 2 --- }
048B: 013D { 239 2 ---  23F 2 ---  23A 2 ---  240 2 --- }
048C: 013D { 23B 2 ---  241 2 ---  23C 2 ---  242 2 --- }
048D: 013D { 23C 2 x--  242 2 x--  23B 2 x--  241 2 x-- }
048E: 013D { 23A 2 x--  240 2 x--  239 2 x--  23F 2 x-- }
048F: 013B { 238 2 x--  23E 2 x--  237 2 x--  23D 2 x-- }
0490: 0025 { 266 4 ---  26A 4 ---  267 4 ---  26B 4 --- }
0491: 0025 { 268 4 ---  26C 4 ---  269 4 ---  26D 4 --- }
0492: ~
0493: 0025 { 1C2 2 ---  1C6 2 ---  1C3 2 ---  1C7 2 --- }
0494: 0025 { 1C4 2 ---  1C8 2 ---  1C5 2 ---  1C9 2 --- }
0495: ~
0496: ~
0497: ~
0498: 013F { 243 2 ---  248 2 ---  244 2 ---  249 2 --- }
0499: 013F { 244 2 x--  249 2 x--  243 2 x--  248 2 x-- }
049A: 013C { 243 2 ---  248 2 ---  244 2 ---  249 2 --- }
049B: 013E { 245 2 ---  24A 2 ---  246 2 ---  24B 2 --- }
049C: 013E { 246 2 x--  24C 2 ---  247 2 ---  24D 2 --- }
049D: 013E { 247 2 x--  24D 2 x--  246 2 ---  24C 2 x-- }
049E: 013E { 246 2 x--  24B 2 x--  245 2 x--  24A 2 x-- }
049F: 013C { 244 2 x--  249 2 x--  243 2 x--  248 2 x-- }
04A0: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04A1: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04A2: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04A3: 0025 { 1CA 2 ---  1CE 2 ---  1CB 2 ---  1CF 2 --- }
04A4: 0025 { 1CC 2 ---  1D2 2 ---  1CD 2 ---  1D3 2 --- }
04A5: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04A6: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04A7: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04A8: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04A9: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04AA: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04AB: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04AC: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04AD: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04AE: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04AF: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04B0: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04B1: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04B2: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04B3: 0025 { 1D4 2 ---  1D8 2 ---  1D5 2 ---  1D9 2 --- }
04B4: 0025 { 1EA 2 ---  1EC 2 ---  1D7 2 ---  1DB 2 --- }
04B5: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04B6: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04B7: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04B8: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04B9: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04BA: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04BB: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04BC: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04BD: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04BE: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04BF: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04C0: 01E2 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04C1: 01AF { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04C2: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04C3: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04C4: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04C5: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04C6: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04C7: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04C8: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04C9: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04CA: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04CB: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04CC: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04CD: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04CE: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04CF: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04D0: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04D1: 01E4 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04D2: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04D3: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04D4: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04D5: 01AF { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04D6: 0196 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04D7: 01AA { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04D8: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04D9: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04DA: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04DB: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04DC: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04DD: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04DE: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04DF: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04E0: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04E1: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04E2: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04E3: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04E4: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04E5: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04E6: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04E7: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04E8: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04E9: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04EA: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04EB: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04EC: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04ED: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04EE: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04EF: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04F0: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04F1: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04F2: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04F3: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04F4: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04F5: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04F6: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04F7: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04F8: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04F9: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04FA: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04FB: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04FC: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04FD: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04FE: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
04FF: 0025 { 004 4 ---  004 4 ---  004 4 ---  004 4 --- }
