2A00: 0025 { 0A4 1 ---  0A4 1 -y-  0A5 1 ---  0B5 1 --- }
2A9D: 0130 { 190 2 -y-  184 2 -y-  193 2 -y-  195 2 -y- }
2A9E: 0130 { 194 2 ---  192 2 ---  195 2 ---  193 2 --- }
2A9F: 0130 { 192 2 -y-  194 2 -y-  190 2 xy-  184 2 xy- }
2AA0: 0025 { 0F8 1 x--  0C3 1 x--  0F8 1 x--  0C3 1 --- }
2AA1: 0025 { 0C7 1 ---  0D6 1 x--  0B4 1 x--  0D1 1 x-- }
2AA2: 0025 { 0D6 1 x--  0A7 1 ---  0D6 1 x--  0A7 1 x-- }
2AA3: 0025 { 1C3 3 ---  0C7 1 ---  1C4 3 ---  0D6 3 --- }
2AA4: 0025 { 0C7 1 ---  0D6 1 x--  0D6 1 x--  0D6 1 x-- }
2AA5: 0025 { 0D6 1 x--  0D6 1 x--  0D6 1 x--  0D6 1 x-- }
2AA6: 0025 { 0C0 1 ---  0D0 1 ---  0C1 1 ---  0D1 1 --- }
2AA7: 0025 { 0C1 1 x--  0D1 1 x--  0C0 1 x--  0D0 1 x-- }
2AA8: 0025 { 0D6 1 x--  0D6 1 x--  0D6 1 x--  0D6 1 x-- }
2AA9: 0025 { 0C7 1 ---  0C7 1 -y-  0D6 1 xy-  0D6 1 xy- }
2AAA: 0025 { 0C7 1 ---  0D6 1 ---  0D6 1 x--  0C7 1 xy- }
2AAB: 01E4 { 194 2 ---  192 2 ---  186 2 x--  193 2 --- }
2AAC: 01E2 { 186 2 ---  192 2 ---  195 2 ---  193 2 --- }
2AAD: 0130 { 190 2 -y-  180 2 -y-  193 2 ---  183 2 -y- }
2AAE: 0130 { 192 2 ---  182 2 -y-  193 2 ---  183 2 -y- }
2AAF: 0130 { 192 2 ---  182 2 -y-  190 2 xy-  180 2 xy- }
2AB0: 0025 { 0E4 1 x--  0D6 1 x--  0E4 1 ---  0C7 1 xy- }
2AB1: 0025 { 0C7 1 ---  0C7 1 -y-  0D6 1 x--  0C7 1 xy- }
2AB2: 0025 { 0D6 1 x--  0D6 1 x--  0D6 1 x--  0D6 1 x-- }
2AB3: 0025 { 0D6 1 x--  0D6 1 x--  0D6 1 x--  0D6 1 x-- }
2AB4: 0025 { 0D6 1 x--  0D6 1 x--  0D6 1 x--  0D6 1 x-- }
2AB5: 0025 { 0D6 1 x--  0D6 1 x--  0D6 1 x--  0D6 1 x-- }
2AB6: 0025 { 0C7 1 ---  0D6 1 x--  0D6 1 x--  0D6 1 x-- }
2AB7: 0025 { 0D6 1 ---  0D6 1 x--  0C7 1 x--  0D6 1 x-- }
2AB8: 0025 { 0D6 1 x--  0D6 1 x--  0D6 1 x--  0D6 1 x-- }
2AB9: 0130 { 0C2 1 -y-  0F8 1 x--  0C2 1 xy-  0F8 1 x-- }
2ABA: 0006 { 087 5 ---  088 5 x--  088 5 ---  087 5 x-- }
2ABB: 003F { 0F8 1 x--  0D2 1 ---  0F8 1 x--  0D3 1 --- }
2ABC: 003F { 0F8 1 x--  0D3 1 x--  0F8 1 x--  0D2 1 x-- }
2ABD: 0006 { 1C7 5 ---  088 5 x--  1C8 5 ---  087 5 x-- }
2ABE: 0006 { 1C5 5 ---  088 5 x--  1C6 5 ---  087 5 x-- }
2ABF: 0006 { 1D5 5 ---  088 5 x--  1D6 5 ---  087 5 x-- }
2AC0: 0025 { 0A7 1 ---  0D6 1 ---  0A7 1 x--  0D6 1 xy- }
2AC1: 0025 { 0D1 1 -y-  0C7 1 ---  0D6 1 xy-  0D6 1 xy- }
2AC2: 0025 { 0D6 1 ---  0C7 1 -y-  0C7 1 x--  0D6 1 x-- }
2AC3: 0025 { 0D6 1 ---  0D1 1 -y-  0D6 1 ---  0D6 1 --- }
2AC4: 0025 { 0C7 1 ---  0D6 1 x--  0C7 1 x--  0D6 1 x-- }
2AC5: 0025 { 0F8 1 x--  0C3 1 x--  1E4 3 ---  1C9 3 --- }
2AC6: 0025 { 1DE 3 ---  1E2 3 ---  1E1 3 ---  1E3 3 --- }
2AC7: 0025 { 0F8 5 ---  0F8 5 ---  1E4 3 ---  1E4 3 --- }
2AC8: 0106 { 1D9 3 ---  1DA 3 ---  1D9 3 ---  1DB 3 --- }
2AC9: 0006 { 087 5 ---  1CE 5 x--  088 5 ---  1CF 5 x-- }
2ACA: 003F { 0F8 1 x--  0C2 1 ---  0F8 1 x--  0C3 1 --- }
2ACB: 003F { 0B4 1 ---  0D1 1 ---  0D6 1 x--  0D6 1 x-- }
2ACC: 003F { 0D6 1 x--  0D6 1 x--  0B4 1 x--  0D1 1 x-- }
2ACD: 003F { 0F8 1 x--  0C3 1 x--  0F8 1 x--  0C2 1 x-- }
2ACE: 0006 { 087 5 ---  0E8 5 ---  088 5 ---  0E8 5 x-- }
2ACF: 0006 { 087 5 ---  0E8 5 ---  088 5 ---  0E8 5 x-- }
2AD0: 0025 { 0C7 1 ---  0D6 1 xy-  0C7 1 x--  0D6 1 xy- }
2AD1: 0025 { 0D6 1 ---  0D1 1 -y-  0D1 1 x--  0D6 1 --- }
2AD2: 0025 { 0D6 1 x--  0D6 1 x--  0B4 1 x--  0C4 1 x-- }
2AD3: 0025 { 0D6 1 x--  0C7 1 xy-  0D6 1 x--  0C7 1 -y- }
2AD4: 0106 { 1D8 3 ---  1DA 3 ---  1D9 3 ---  1DB 3 --- }
2AD5: 0106 { 1D9 3 ---  1E5 3 ---  1D9 3 ---  1E5 3 --- }
2AD6: 0106 { 1D9 3 ---  1E5 3 ---  1D9 3 ---  1E5 3 --- }
2AD7: 0106 { 1D9 3 ---  1E5 3 ---  1D9 3 ---  1E5 3 --- }
2AD8: 0106 { 1D9 3 ---  1DA 3 ---  1D8 3 x--  1DB 3 --- }
2AD9: 0106 { 1D8 3 ---  1DA 3 ---  1D9 3 ---  1DB 3 --- }
2ADA: 0106 { 1D9 3 ---  1E5 3 ---  1D9 3 ---  1E5 3 --- }
2ADB: 0106 { 1D9 3 ---  1E5 3 ---  1D9 3 ---  1E5 3 --- }
2ADC: 0106 { 1D9 3 ---  1DA 3 ---  1D8 3 x--  1DB 3 --- }
2ADD: 0106 { 1D8 3 ---  1DA 3 ---  1D9 3 ---  1DB 3 --- }
2ADE: 0106 { 1D9 3 ---  1E5 3 ---  1D9 3 ---  1E5 3 --- }
2ADF: 0106 { 1D9 3 ---  1DA 3 ---  1D8 3 x--  1DB 3 --- }
2AE0: 0025 { 0F8 1 x--  0C2 1 ---  1E4 3 ---  1C9 3 --- }
2AE1: 0025 { 0D6 1 x--  0D6 1 x--  0B4 1 x--  0D1 1 x-- }
2AE2: 0025 { 0D6 1 x--  0A7 1 ---  0D6 1 x--  0A7 1 x-- }
2AE3: 0025 { 0D6 1 x--  0C7 1 -y-  0D6 1 x--  0C7 1 xy- }
2AE4: 0025 { 1DC 3 ---  1DC 3 ---  1DD 3 ---  1DD 3 --- }
2AE5: 0025 { 1DE 3 ---  1E2 3 ---  1DF 3 ---  0F8 5 --- }
2AE6: 0025 { 1D2 3 ---  0F8 5 ---  1D2 3 ---  0F8 3 --- }
2AE7: 0025 { 1E0 3 ---  0F8 5 ---  1E1 3 ---  1E3 3 --- }
2AE8: 0025 { 1DC 3 ---  1DC 3 ---  1DD 3 ---  1DD 3 --- }
2AE9: 0025 { 1DC 3 ---  1DC 3 ---  1DD 3 ---  1DD 3 --- }
2AEA: 0025 { 1DE 3 ---  1E2 3 ---  1DF 3 ---  0F8 5 --- }
2AEB: 0025 { 1E0 3 ---  0F8 5 ---  1E1 3 ---  1E3 3 --- }
2AEC: 0025 { 1DC 3 ---  1DC 3 ---  1DD 3 ---  1DD 3 --- }
2AED: 0025 { 1DC 3 ---  1DC 3 ---  1DD 3 ---  1DD 3 --- }
2AEE: 0025 { 1DE 3 ---  1E2 3 ---  1DE 3 x--  1E2 3 x-- }
2AEF: 0025 { 1DC 3 ---  1DC 3 ---  1DD 3 ---  1DD 3 --- }
2AF0: 0025 { 0F8 1 x--  0C3 1 x--  0F8 3 x--  0C2 1 x-- }
2AF1: 0025 { 0D6 1 x--  0D6 1 x--  0D6 1 x--  0D6 1 x-- }
2AF2: 0025 { 0F8 1 x--  0E4 1 ---  0F8 3 x--  0E4 1 x-- }
2AF3: 0025 { 0D6 1 x--  0A7 1 ---  0C7 1 x--  0A7 1 x-- }
2AF4: 0025 { 1DC 3 ---  1DC 3 ---  1DD 3 ---  1DD 3 --- }
2AF5: 0025 { 0F8 1 x--  0F8 1 x--  0F8 3 x--  0F8 3 x-- }
2AF6: 0025 { 0F8 1 x--  0F8 1 x--  0F8 3 x--  0F8 3 x-- }
2AF7: 0025 { 0F8 5 ---  0F8 5 ---  1E4 3 ---  1E4 3 --- }
2AF8: 0025 { 1DC 3 ---  1DC 3 ---  1DD 3 ---  1DD 3 --- }
2AF9: 0025 { 1DC 3 ---  1DC 3 ---  1DD 3 ---  1DD 3 --- }
2AFA: 0025 { 0F8 1 x--  0F8 1 x--  0F8 3 x--  0F8 3 x-- }
2AFB: 0025 { 0F8 5 ---  0F8 5 ---  1E4 3 ---  1E4 3 --- }
2AFC: 0025 { 1DC 3 ---  1DC 3 ---  1DD 3 ---  1DD 3 --- }
2AFD: 0025 { 1DC 3 ---  1DC 3 ---  1DD 3 ---  1DD 3 --- }
2AFE: 0025 { 0F8 1 x--  0F8 1 x--  0F8 3 x--  0F8 3 x-- }
2AFF: 0025 { 1DC 3 ---  1DC 3 ---  1DD 3 ---  1DD 3 --- }
