5500: 0106 { 280 2 ---  290 2 ---  281 2 ---  291 2 --- }
5537: 0130 { 2E6 2 -y-  2E4 2 -y-  2E6 2 -y-  2E5 2 -y- }
5538: 0130 { 2B0 2 -y-  2B0 2 ---  2B1 2 -y-  2B1 2 --- }
5539: 0130 { 2D0 2 -y-  2C0 2 -y-  2D1 2 -y-  2C1 2 -y- }
553A: 0130 { 2D2 2 -y-  2C2 2 -y-  2D3 2 -y-  2C3 2 -y- }
553B: 0130 { 2D3 2 xy-  2C3 2 xy-  2D2 2 xy-  2C2 2 xy- }
553C: 0130 { 2D1 2 xy-  2C1 2 xy-  2D0 2 xy-  2C0 2 xy- }
553D: 0130 { 2B2 2 -y-  2B2 2 ---  2B3 2 -y-  2B3 2 --- }
553E: 0130 { 2B3 2 xy-  2B3 2 x--  2B2 2 xy-  2B2 2 x-- }
553F: 0025 { 28E 3 ---  29E 3 ---  28F 3 ---  29F 3 --- }
5540: 0025 { 2A6 2 -y-  296 2 -y-  2A7 2 -y-  297 2 -y- }
5541: 0130 { 284 2 -y-  286 2 -y-  2E6 2 -y-  2E6 2 -y- }
5542: 0130 { 285 2 -y-  284 2 -y-  2E6 2 xy-  2E4 2 -y- }
5543: 0130 { 2E6 2 xy-  2E6 2 xy-  284 2 xy-  286 2 xy- }
5544: 0025 { 2A7 2 xy-  297 2 xy-  2A6 2 xy-  296 2 xy- }
5545: 0130 { 2F5 2 ---  2F6 2 ---  1E5 2 ---  2E6 2 x-- }
5546: 0130 { 2B1 2 xy-  2B3 2 x--  2B0 2 xy-  2B2 2 x-- }
5547: 0130 { 2F2 2 -y-  2E2 2 -y-  2F3 2 -y-  2E3 2 -y- }
5548: 0130 { 2B0 2 -y-  2B2 2 ---  2B1 2 -y-  2B3 2 --- }
5549: 0130 { 292 2 -y-  2C3 2 xy-  293 2 -y-  2C3 2 -y- }
554A: 0130 { 2C5 2 ---  2B3 2 xy-  2C5 2 x--  2B3 2 -y- }
554B: 012F { 288 2 ---  298 2 ---  289 2 ---  299 2 --- }
554C: 0130 { 292 2 -y-  2A8 2 -y-  293 2 -y-  2A9 2 -y- }
554D: 0002 { 28D 2 x--  2BF 2 x--  2BD 2 -y-  2BB 2 --- }
554E: 0002 { 2BD 2 xy-  2BB 2 x--  28D 2 ---  2BF 2 --- }
554F: 0002 { 28C 2 ---  2AE 2 ---  28D 2 ---  2AF 2 --- }
5550: 0025 { 2A4 2 -y-  294 2 -y-  2A5 2 -y-  295 2 -y- }
5551: 0130 { 285 2 -y-  284 2 -y-  2E6 2 -y-  2E6 2 -y- }
5552: 0130 { 2E6 2 -y-  2E4 2 -y-  2E6 2 -y-  2E5 2 -y- }
5553: 0130 { 2E6 2 xy-  2E6 2 xy-  285 2 xy-  284 2 xy- }
5554: 0025 { 2A5 2 xy-  295 2 xy-  2A4 2 xy-  294 2 xy- }
5555: 0130 { 2F6 2 ---  2E6 2 ---  2F5 2 x--  2F6 2 x-- }
5556: 0130 { 2D5 2 -y-  2C5 2 -y-  2D6 2 -y-  2C6 2 -y- }
5557: 0130 { 292 2 -y-  282 2 -y-  293 2 -y-  283 2 -y- }
5558: 0130 { 2D6 2 xy-  2C6 2 xy-  2D5 2 xy-  2C5 2 xy- }
5559: 0130 { 2B3 2 x--  2C5 2 -y-  2B3 2 ---  2C5 2 xy- }
555A: 0130 { 2C3 2 x--  292 2 ---  2C3 2 ---  293 2 --- }
555B: 0130 { 2A8 2 ---  292 2 ---  2A9 2 ---  293 2 --- }
555C: 012F { 298 2 -y-  288 2 -y-  299 2 -y-  289 2 -y- }
555D: 0002 { 2BF 2 xy-  28D 2 xy-  2BB 2 -y-  2BD 2 --- }
555E: 0002 { 2BB 2 xy-  2BD 2 x--  2BF 2 -y-  28D 2 -y- }
555F: 0002 { 2BE 2 ---  2AE 2 ---  2BF 2 ---  2AF 2 --- }
5560: 0130 { 0F8 2 -y-  0F8 2 -y-  2A2 2 -y-  2A1 2 -y- }
5561: 0130 { 2A0 2 -y-  2E2 2 -y-  2F3 2 -y-  2E3 2 -y- }
5562: 0130 { 2F2 2 -y-  2E2 2 -y-  2F3 2 -y-  2E3 2 -y- }
5563: 0130 { 2F3 2 xy-  2E3 2 xy-  2A0 2 xy-  2E2 2 xy- }
5564: 0130 { 2A2 2 xy-  2A1 2 xy-  0F8 2 xy-  0F8 2 xy- }
5565: 0130 { 2E6 2 -y-  2F6 2 ---  2F6 2 xy-  2F5 2 xy- }
5566: 0025 { 297 2 x--  2A7 2 x--  296 2 x--  287 2 x-- }
5567: 0130 { 280 2 ---  2C5 2 -y-  2C5 2 x--  2C5 2 xy- }
5568: 0130 { 284 2 ---  285 2 ---  284 2 x--  285 2 x-- }
5569: 0130 { 2CC 2 ---  2DC 2 ---  2CD 2 ---  2DD 2 --- }
556A: 0130 { 0F8 0 ---  0F8 0 ---  0F8 0 ---  0F8 0 --- }
556B: 0130 { 2B1 2 xy-  2B3 2 x--  2B1 2 -y-  2B3 2 --- }
556C: 0002 { 28D 2 x--  2AE 2 ---  2BD 2 -y-  0F8 0 --- }
556D: 0002 { 2AD 2 ---  0F8 0 ---  2AC 2 ---  0F8 0 --- }
556E: 0002 { 2BD 2 xy-  0F8 0 ---  28C 2 x--  2AF 2 --- }
556F: 0002 { 2AF 2 xy-  28D 2 xy-  2AE 2 xy-  28C 2 xy- }
5570: 0130 { 290 2 -y-  280 2 -y-  291 2 -y-  281 2 -y- }
5571: 0130 { 292 2 -y-  282 2 -y-  293 2 -y-  283 2 -y- }
5572: 0130 { 292 2 -y-  282 2 -y-  293 2 -y-  283 2 -y- }
5573: 0130 { 293 2 xy-  283 2 xy-  292 2 xy-  282 2 xy- }
5574: 0130 { 291 2 xy-  281 2 xy-  290 2 xy-  280 2 xy- }
5575: 0130 { 2E6 2 x--  2E6 2 x--  2F5 2 x--  2F6 2 x-- }
5576: 0130 { 2F5 2 ---  2F6 2 ---  2E6 2 ---  2E6 2 --- }
5577: 0025 { 297 2 x--  2A7 2 x--  296 2 x--  287 2 x-- }
5578: 0130 { 2F5 2 ---  2F6 2 ---  286 2 x--  284 2 x-- }
5579: 0130 { 2F5 2 ---  2E4 2 -y-  2F6 2 x--  2E5 2 -y- }
557A: 0130 { 2F5 2 ---  2F6 2 ---  2F5 2 x--  2F6 2 x-- }
557B: 0025 { 2B6 3 ---  0F8 0 ---  2B6 3 ---  0F8 0 --- }
557C: 0002 { 2BE 2 ---  2AE 2 ---  0F8 0 ---  0F8 0 --- }
557D: 0002 { 0F8 0 ---  0F8 0 ---  0F8 0 ---  0F8 0 --- }
557E: 0002 { 0F8 0 ---  0F8 0 ---  2BF 2 ---  2AF 2 --- }
557F: 0002 { 0F8 0 ---  0F8 0 ---  2BE 2 x--  2AE 2 x-- }
5580: 0025 { 2C8 3 ---  2D8 3 ---  2C9 3 ---  2D9 3 --- }
5581: 001F { 2CA 2 ---  2DA 2 ---  2CB 2 ---  2DB 2 --- }
5582: 012F { 2EC 2 ---  2FC 2 ---  2ED 2 ---  2FD 2 --- }
5583: 0130 { 2EE 2 ---  2FE 2 ---  2B0 2 xy-  2B0 2 x-- }
5584: 0130 { 2F6 2 -y-  2F5 2 -y-  2E6 2 xy-  2F6 2 x-- }
5585: 0130 { 2F5 2 ---  2F6 2 ---  2E4 2 ---  2E6 2 x-- }
5586: 012F { 288 2 ---  298 2 ---  289 2 ---  299 2 --- }
5587: 012F { 2CE 2 ---  2DE 2 ---  2CF 2 ---  2DF 2 --- }
5588: 0130 { 292 2 -y-  2B8 2 -y-  293 2 -y-  2B9 2 -y- }
5589: 0006 { 2B7 5 ---  2C7 5 x--  2C7 5 ---  2B7 5 x-- }
558A: 0130 { 292 2 -y-  2BA 2 ---  293 2 -y-  2BA 2 x-- }
558B: 0106 { 2B6 3 ---  0F8 0 ---  2B6 3 ---  0F8 0 --- }
558C: 0002 { 2AE 2 -y-  28D 2 xy-  0F8 0 ---  2BD 2 --- }
558D: 0002 { 0F8 0 ---  2AD 2 -y-  0F8 0 ---  2AC 2 -y- }
558E: 0002 { 0F8 0 ---  2BD 2 x--  2AF 2 -y-  28C 2 xy- }
558F: 0002 { 2BF 2 x--  2AF 2 x--  0F8 0 ---  0F8 0 --- }
5590: 0025 { 2E8 3 ---  2F8 3 ---  2E9 3 ---  2F9 3 --- }
5591: 0020 { 2EA 2 ---  2FA 2 ---  2EB 2 ---  2FB 2 --- }
5592: 0130 { 2B0 2 -y-  2B0 2 ---  2EE 2 x--  2FE 2 x-- }
5593: 012F { 2ED 2 x--  2FD 2 x--  2EC 2 x--  2FC 2 x-- }
5594: 0025 { 2A7 2 xy-  297 2 xy-  287 2 xy-  296 2 xy- }
5595: 0025 { 287 2 -y-  296 2 -y-  2A7 2 -y-  297 2 -y- }
5596: 0130 { 2AA 2 ---  292 2 ---  2AB 2 ---  293 2 --- }
5597: 0130 { 2B8 2 ---  292 2 ---  2B9 2 ---  293 2 --- }
5598: 012F { 2DE 2 -y-  2CE 2 -y-  2DF 2 -y-  2CF 2 -y- }
5599: 0006 { 2B7 5 ---  2D7 5 ---  2C7 5 ---  2E7 5 --- }
559A: ~
559B: ~
559C: ~
559D: ~
559E: ~
559F: ~
55A0: ~
55A1: ~
55A2: ~
55A3: ~
55A4: ~
55A5: ~
55A6: ~
55A7: ~
55A8: ~
55A9: ~
55AA: ~
55AB: ~
55AC: ~
55AD: ~
55AE: ~
55AF: ~
55B0: ~
55B1: ~
55B2: ~
55B3: ~
55B4: ~
55B5: ~
55B6: ~
55B7: ~
55B8: ~
55B9: ~
55BA: ~
55BB: ~
55BC: ~
55BD: ~
55BE: ~
55BF: ~
55C0: ~
55C1: ~
55C2: ~
55C3: ~
55C4: ~
55C5: ~
55C6: ~
55C7: ~
55C8: ~
55C9: ~
55CA: ~
55CB: ~
55CC: ~
55CD: ~
55CE: ~
55CF: ~
55D0: 0025 { 28D 2 x--  2AE 2 ---  2BD 2 -y-  0F8 0 --- }
55D1: 0025 { 2AD 2 ---  0F8 0 ---  2AC 2 ---  0F8 0 --- }
55D2: 0025 { 2BD 2 xy-  0F8 0 ---  28C 2 x--  2AF 2 --- }
55D3: 0025 { 29D 2 ---  29C 2 ---  2AD 2 ---  2BD 2 --- }
55D4: 0025 { 2AC 2 ---  2BC 2 ---  2AD 2 ---  2BD 2 --- }
55D5: 0025 { 2BD 2 xy-  2AD 2 xy-  28C 2 x--  29D 2 xy- }
55D6: 0025 { 28C 2 ---  2AE 2 ---  28D 2 ---  2AF 2 --- }
55D7: 0025 { 28C 2 ---  29C 2 ---  28D 2 ---  28C 2 xy- }
55D8: ~
55D9: ~
55DA: ~
55DB: ~
55DC: ~
55DD: ~
55DE: ~
55DF: ~
55E0: 0025 { 2BE 2 ---  2AE 2 ---  0F8 0 ---  0F8 0 --- }
55E1: 0025 { 0F8 0 ---  0F8 0 ---  0F8 0 ---  0F8 0 --- }
55E2: 0025 { 0F8 0 ---  0F8 0 ---  2BF 2 ---  2AF 2 --- }
55E3: 0025 { 0F8 0 ---  0F8 0 ---  2BE 2 x--  2AE 2 x-- }
55E4: 0025 { 28D 2 x--  2BF 2 x--  2BD 2 -y-  2BB 2 --- }
55E5: 0025 { 2BD 2 xy-  2BB 2 x--  28D 2 ---  2BF 2 --- }
55E6: 0025 { 2BE 2 ---  2AE 2 ---  2BF 2 ---  2AF 2 --- }
55E7: 0025 { 0F8 0 ---  0F8 0 ---  0F8 0 ---  0F8 0 --- }
55E8: ~
55E9: ~
55EA: ~
55EB: ~
55EC: ~
55ED: ~
55EE: ~
55EF: ~
55F0: 0025 { 2AE 2 -y-  28D 2 xy-  0F8 0 ---  2BD 2 --- }
55F1: 0025 { 0F8 0 ---  2AD 2 -y-  0F8 0 ---  2AC 2 -y- }
55F2: 0025 { 0F8 0 ---  2BD 2 x--  2AF 2 -y-  28C 2 xy- }
55F3: 0025 { 2BF 2 x--  2AF 2 x--  0F8 0 ---  0F8 0 --- }
55F4: 0025 { 2BF 2 xy-  28D 2 xy-  2BB 2 -y-  2BD 2 --- }
55F5: 0025 { 2BB 2 xy-  2BD 2 x--  2BF 2 -y-  28D 2 -y- }
55F6: 0025 { 2AF 2 xy-  28D 2 xy-  2AE 2 xy-  28C 2 xy- }
55F7: 0025 { 28E 3 ---  29E 3 ---  28F 3 ---  29F 3 --- }
55F8: 0130 { 0F8 0 ---  0F8 0 ---  0F8 0 ---  0F8 0 --- }
55F9: ~
55FA: ~
55FB: ~
55FC: ~
55FD: ~
55FE: ~
55FF: ~
