7100: 0025 { 08D 3 ---  08D 3 -y-  08D 3 x--  08D 3 xy- }
71B8: 0130 { 186 2 ---  192 2 ---  186 2 x--  193 2 --- }
71B9: 0130 { 186 2 ---  192 2 ---  195 2 ---  186 2 xy- }
71BA: 0130 { 179 2 x--  0F8 5 ---  17A 2 x--  0F8 5 --- }
71BB: 0130 { 190 2 -y-  180 2 -y-  190 2 xy-  180 2 xy- }
71BC: 0130 { 192 2 ---  186 2 -y-  184 2 x--  190 2 x-- }
71BD: 0130 { 190 2 ---  186 2 ---  195 2 ---  193 2 --- }
71BE: 0130 { 194 2 ---  192 2 ---  190 2 x--  186 2 x-- }
71BF: 0130 { 192 2 ---  186 2 -y-  186 2 x--  195 2 --- }
71C0: 0130 { 1C3 7 ---  1D3 7 ---  1C4 7 ---  1D4 7 --- }
71C1: 0130 { 1C5 7 ---  1D5 7 ---  1C6 7 ---  1D6 7 --- }
71C2: 0130 { 1C4 7 x--  1D4 7 x--  1C3 7 x--  1D3 7 x-- }
71C3: 0130 { 1FF 3 -y-  1FF 3 ---  089 3 ---  08A 3 -y- }
71C4: 0025 { 08A 3 ---  099 3 ---  09A 3 ---  09A 3 --- }
71C5: 0130 { 1FF 3 -y-  1FF 3 ---  09A 3 ---  09A 3 --- }
71C6: 0039 { 0A0 4 -y-  0F8 5 ---  0A1 4 -y-  0F8 5 --- }
71C7: 003C { 0A0 7 -yp  0F8 5 ---  0A1 7 -yp  0F8 5 --- }
71C8: 0130 { 205 3 ---  235 3 ---  206 3 ---  236 3 --- }
71C9: 0130 { 194 2 ---  186 2 -y-  195 2 ---  186 2 xy- }
71CA: 0145 { 180 2 ---  190 2 ---  183 2 ---  186 2 xy- }
71CB: 0130 { 186 2 ---  192 2 ---  184 2 x--  190 2 x-- }
71CC: 0130 { 184 2 ---  190 2 ---  195 2 ---  186 2 xy- }
71CD: 0130 { 184 2 ---  190 2 ---  186 2 x--  193 2 --- }
71CE: 0130 { 194 2 ---  182 2 -y-  186 2 x--  183 2 -y- }
71CF: 0130 { 182 2 ---  186 2 -y-  183 2 ---  193 2 --- }
71D0: 0130 { 1E3 7 ---  182 2 ---  1E4 7 ---  183 2 --- }
71D1: 0130 { 1E5 7 ---  182 2 ---  1E6 7 ---  183 2 --- }
71D2: 0130 { 1E4 7 x--  182 2 ---  1E3 7 x--  183 2 --- }
71D3: 0130 { 1E3 7 ---  180 2 ---  1E4 7 ---  183 2 --- }
71D4: 0130 { 1FF 3 -y-  1FF 3 ---  1A2 3 x--  089 3 x-- }
71D5: 0130 { 099 3 ---  182 2 ---  09A 3 ---  183 2 --- }
71D6: 0130 { 1FF 3 ---  182 2 ---  099 3 ---  183 2 --- }
71D7: 0039 { 0F8 5 -y-  0A0 4 ---  0F8 5 -y-  0A1 4 --- }
71D8: 003C { 0F8 5 -y-  0A0 7 --p  0F8 5 -y-  0A1 7 --p }
71D9: 0130 { 180 2 ---  190 2 ---  180 2 x--  186 2 x-- }
71DA: 0130 { 194 2 ---  194 2 ---  195 2 ---  195 2 --- }
71DB: 0130 { 194 2 ---  0CB 2 ---  195 2 ---  195 2 --- }
71DC: 0130 { 194 2 ---  194 2 ---  195 2 ---  195 2 --- }
71DD: 0130 { 194 2 ---  0CC 2 ---  195 2 ---  195 2 --- }
71DE: 0130 { 194 2 ---  194 2 ---  195 2 ---  0CA 2 x-- }
71DF: 0130 { 194 2 ---  0CB 2 xy-  195 2 ---  0CB 2 x-- }
71E0: 0130 { 1AA 3 ---  096 3 ---  1BE 3 ---  096 3 x-- }
71E1: 0025 { 20C 3 ---  21C 3 ---  20C 3 x--  21C 3 x-- }
71E2: 0130 { 1FF 3 -y-  1FF 3 ---  089 3 ---  1A2 3 xy- }
71E3: 0130 { 190 2 -y-  180 2 -y-  190 2 xy-  1FE 2 x-- }
71E4: 0025 { 1A1 2 x--  1B1 2 x--  1AB 2 ---  1BB 2 --- }
71E5: 0135 { 020 6 ---  020 6 ---  021 6 ---  021 6 --- }
71E6: 0136 { 022 6 ---  022 6 ---  023 6 ---  023 6 --- }
71E7: 0137 { 000 6 ---  010 6 ---  001 6 ---  011 6 --- }
71E8: 0138 { 002 6 ---  012 6 ---  003 6 ---  013 6 --- }
71E9: 0025 { 19A 2 -y-  19A 2 -y-  1BF 2 ---  19A 2 -y- }
71EA: 0130 { 194 2 ---  194 2 ---  0CA 2 ---  0CB 2 x-- }
71EB: 0130 { 194 2 ---  0CA 2 ---  0CC 2 x--  0CB 2 --- }
71EC: 0130 { 194 2 ---  194 2 ---  0CB 2 ---  0CC 2 --- }
71ED: 0130 { 194 2 ---  0CA 2 x--  0CB 2 ---  0CB 2 x-- }
71EE: 0130 { 194 2 ---  194 2 ---  195 2 ---  195 2 --- }
71EF: 0130 { 0CA 2 x--  0CC 2 ---  195 2 ---  195 2 --- }
71F0: 0025 { 0F8 5 ---  0F8 5 ---  0F8 5 ---  0F8 5 --- }
71F1: 0025 { 20E 3 ---  21E 3 ---  20F 3 ---  21F 3 --- }
71F2: 0130 { 0F8 5 ---  0F8 5 ---  0F8 5 ---  0F8 5 --- }
71F3: 0130 { 190 2 -y-  180 2 -y-  190 2 xy-  1FD 2 --- }
71F4: 0130 { 190 2 -y-  1FE 2 ---  190 2 xy-  180 2 xy- }
71F5: 014F { 192 2 -y-  182 2 -y-  190 2 xy-  1FE 2 x-- }
71F6: 014D { 190 2 -y-  1FE 2 ---  193 2 -y-  183 2 -y- }
71F7: 003A { 0A2 4 ---  0A0 4 -y-  0A3 4 ---  0A1 4 -y- }
71F8: 003A { 0A2 7 --p  0A0 7 -yp  0A3 7 --p  0A1 7 -yp }
71F9: 0025 { 19A 2 xy-  1BF 2 ---  19A 2 xy-  19A 2 xy- }
71FA: 0130 { 194 2 ---  194 2 ---  0CB 2 xy-  0CC 2 --- }
71FB: 0130 { 194 2 ---  194 2 ---  0CB 2 x--  0CA 2 x-- }
71FC: 0130 { 194 2 ---  194 2 ---  0CA 2 x--  0CB 2 --- }
71FD: 0130 { 194 2 ---  194 2 ---  0CB 2 x--  0CC 2 x-- }
71FE: 0130 { 194 2 ---  194 2 ---  195 2 ---  195 2 --- }
71FF: 0130 { 0CB 2 x--  0CA 2 x--  195 2 ---  195 2 --- }
