3C00: 0130 { 18E 6 ---  19E 6 ---  18F 6 ---  19F 6 --- }
3C74: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C75: 0025 { 0FC 5 ---  0FC 5 ---  1EF 5 ---  0FC 5 --- }
3C76: 0025 { 1EF 5 ---  0FC 5 ---  0FC 5 ---  0FC 5 --- }
3C77: 0025 { 0FC 5 ---  0FC 5 ---  0FC 5 ---  0FC 5 --- }
3C78: 0025 { 0FC 5 ---  0FC 5 ---  1EF 5 ---  0FC 5 --- }
3C79: 0025 { 1E6 1 ---  199 1 ---  1E7 1 ---  199 1 --- }
3C7A: 0025 { 1E4 1 ---  199 1 ---  1E5 1 ---  199 1 --- }
3C7B: 0025 { 1E4 1 ---  199 1 ---  1E5 1 ---  199 1 --- }
3C7C: 0025 { 1E4 1 --p  199 1 --p  1E5 1 --p  199 1 --p }
3C7D: 0025 { 1E6 1 --p  199 1 --p  1E7 1 --p  199 1 --p }
3C7E: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C7F: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C80: 0130 { 1B0 5 ---  1C0 5 ---  1B1 5 ---  1C1 5 --- }
3C81: 0130 { 1B2 5 ---  1C2 5 ---  1B2 5 ---  1C2 5 --- }
3C82: 0130 { 1B3 5 ---  1C3 5 ---  1A1 5 ---  1A1 5 --- }
3C83: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C84: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C85: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C86: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C87: 0130 { 004 0 ---  004 0 ---  004 4 ---  004 0 --- }
3C88: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C89: 0025 { 199 1 ---  199 1 ---  199 1 ---  199 1 --- }
3C8A: 0025 { 199 1 ---  199 1 ---  199 1 ---  199 1 --- }
3C8B: 0025 { 1E8 1 ---  0FA 1 ---  1E9 1 ---  0FA 1 --- }
3C8C: 0025 { 199 1 --p  199 1 --p  199 1 --p  199 1 --p }
3C8D: 0025 { 199 1 --p  199 1 --p  199 1 --p  199 1 --p }
3C8E: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C8F: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C90: 0130 { 1D0 5 ---  1E0 5 ---  1D1 5 ---  1E1 5 --- }
3C91: 0130 { 1D2 5 ---  1E2 5 ---  1D2 5 ---  1E2 5 --- }
3C92: 0130 { 1D3 5 ---  1E3 5 ---  1A1 5 ---  1A1 5 --- }
3C93: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C94: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C95: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C96: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C97: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C98: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C99: 0025 { 199 1 ---  199 1 ---  199 1 ---  199 1 --- }
3C9A: 0025 { 199 1 ---  199 1 ---  199 1 ---  199 1 --- }
3C9B: 0025 { 0FA 1 ---  0FA 1 ---  0FA 1 ---  0FA 1 --- }
3C9C: 0025 { 199 1 --p  199 1 --p  199 1 --p  199 1 --p }
3C9D: 0130 { 199 1 --p  199 1 --p  199 1 --p  199 1 --p }
3C9E: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3C9F: 0130 { 004 0 ---  004 0 ---  004 0 ---  004 0 --- }
3CA0: ~
3CA1: ~
3CA2: ~
3CA3: ~
3CA4: ~
3CA5: ~
3CA6: ~
3CA7: ~
3CA8: ~
3CA9: ~
3CAA: ~
3CAB: ~
3CAC: ~
3CAD: ~
3CAE: ~
3CAF: ~
3CB0: ~
3CB1: ~
3CB2: ~
3CB3: ~
3CB4: ~
3CB5: ~
3CB6: ~
3CB7: ~
3CB8: ~
3CB9: ~
3CBA: ~
3CBB: ~
3CBC: ~
3CBD: ~
3CBE: ~
3CBF: ~
3CC0: ~
3CC1: ~
3CC2: ~
3CC3: ~
3CC4: ~
3CC5: ~
3CC6: ~
3CC7: ~
3CC8: ~
3CC9: ~
3CCA: ~
3CCB: ~
3CCC: ~
3CCD: ~
3CCE: ~
3CCF: ~
3CD0: ~
3CD1: ~
3CD2: ~
3CD3: ~
3CD4: ~
3CD5: ~
3CD6: ~
3CD7: ~
3CD8: ~
3CD9: ~
3CDA: ~
3CDB: ~
3CDC: ~
3CDD: ~
3CDE: ~
3CDF: ~
3CE0: ~
3CE1: ~
3CE2: ~
3CE3: ~
3CE4: ~
3CE5: ~
3CE6: ~
3CE7: ~
3CE8: ~
3CE9: ~
3CEA: ~
3CEB: ~
3CEC: ~
3CED: ~
3CEE: ~
3CEF: ~
3CF0: ~
3CF1: ~
3CF2: ~
3CF3: ~
3CF4: ~
3CF5: ~
3CF6: ~
3CF7: ~
3CF8: ~
3CF9: ~
3CFA: ~
3CFB: ~
3CFC: ~
3CFD: ~
3CFE: ~
3CFF: ~
