6000: 0025 { 1F8 7 ---  1F8 7 ---  1F9 7 ---  1F9 7 --- }
601B: 0130 { 191 3 ---  190 3 ---  180 3 x--  190 3 x-- }
601C: 0130 { 191 3 ---  190 3 ---  183 3 ---  193 3 --- }
601D: 0130 { 182 3 ---  192 3 ---  191 3 x--  190 3 x-- }
601E: 0130 { 184 3 ---  190 3 ---  195 3 ---  193 3 --- }
601F: 0130 { 194 3 ---  192 3 ---  184 3 x--  190 3 x-- }
6020: 0025 { 07F 3 ---  1D5 3 ---  1C6 3 ---  1D6 3 --- }
6021: 0025 { 1C7 3 ---  1D7 3 ---  1C8 3 ---  1D8 3 --- }
6022: 0025 { 1C9 3 ---  1D9 3 ---  1CA 3 ---  1DA 3 --- }
6023: 0025 { 1CB 3 ---  1DB 3 ---  07F 3 ---  07F 3 --- }
6024: 0130 { 224 6 --p  234 6 --p  225 6 --p  235 6 --p }
6025: 0130 { 226 6 --p  236 6 --p  227 6 --p  237 6 --p }
6026: 0130 { 268 6 --p  278 6 --p  269 6 --p  279 6 --p }
6027: 0025 { 1EA 3 ---  07F 5 x--  1EA 3 ---  1EA 3 --- }
6028: 0025 { 1EA 3 ---  1EA 3 ---  1EA 3 ---  07F 5 --- }
6029: 0025 { 1EA 3 ---  07F 5 ---  07F 5 -y-  1EA 3 --- }
602A: 0025 { 07F 5 xy-  1EA 3 ---  1EA 3 ---  07F 5 x-- }
602B: 0145 { 180 3 ---  190 3 ---  183 3 ---  193 3 --- }
602C: 0100 { 182 3 ---  192 3 ---  183 3 ---  193 3 --- }
602D: 0130 { 182 3 ---  192 3 ---  180 3 x--  190 3 x-- }
602E: 0130 { 18D 3 ---  1D0 3 ---  183 3 ---  193 3 --- }
602F: 0130 { 182 3 ---  192 3 ---  18D 3 x--  1D0 3 x-- }
6030: 0130 { 200 2 ---  210 2 ---  201 2 ---  211 2 --- }
6031: 0130 { 202 2 ---  212 2 ---  203 2 ---  213 2 --- }
6032: 0025 { 26A 6 ---  27A 6 ---  26B 6 ---  27B 6 --- }
6033: 0025 { 26C 6 ---  27C 6 ---  26C 6 x--  27C 6 x-- }
6034: 0130 { 21C 6 x-p  259 6 x-p  21B 6 x-p  258 6 x-p }
6035: 0130 { 21E 6 x-p  219 6 x-p  21D 6 x-p  218 6 x-p }
6036: 0130 { 21C 6 x-p  209 6 x-p  21B 6 x-p  208 6 x-p }
6037: 0025 { 1EA 3 ---  07F 5 ---  07F 5 ---  07F 5 --- }
6038: 0025 { 07F 5 xy-  07F 5 xy-  1EA 3 ---  07F 5 xy- }
6039: 0025 { 07F 5 xy-  07F 5 xy-  07F 5 xy-  1EA 3 --- }
603A: 0025 { 07F 5 xy-  1EA 3 ---  07F 5 xy-  07F 5 xy- }
603B: 0130 { 190 3 -y-  184 3 -y-  193 3 -y-  195 3 -y- }
603C: 0130 { 194 3 ---  192 3 ---  195 3 ---  193 3 --- }
603D: 0130 { 192 3 -y-  194 3 -y-  190 3 xy-  184 3 xy- }
603E: 0130 { 181 3 ---  1D0 3 ---  183 3 ---  193 3 --- }
603F: 0130 { 182 3 ---  192 3 ---  181 3 x--  1D0 3 x-- }
6040: 0130 { 220 2 ---  230 2 ---  221 2 ---  231 2 --- }
6041: 0130 { 222 2 ---  232 2 ---  223 2 ---  233 2 --- }
6042: 0130 { 204 6 ---  214 6 ---  205 6 ---  215 6 --- }
6043: 0130 { 206 6 ---  216 6 ---  207 6 ---  217 6 --- }
6044: 0130 { 269 6 x-p  279 6 x-p  268 6 x-p  278 6 x-p }
6045: 0130 { 227 6 x-p  237 6 x-p  226 6 x-p  236 6 x-p }
6046: 0130 { 225 6 x-p  235 6 x-p  224 6 x-p  234 6 x-p }
6047: 0130 { 240 2 ---  250 2 ---  243 2 ---  253 2 --- }
6048: 012F { 28D 6 x--  29C 6 ---  28D 6 ---  29D 6 --- }
6049: 0130 { 260 2 ---  270 2 ---  263 2 ---  273 2 --- }
604A: 012F { 29C 6 -y-  28D 6 xy-  29D 6 -y-  28D 6 -y- }
604B: 0130 { 190 3 -y-  180 3 -y-  193 3 ---  183 3 -y- }
604C: 0130 { 192 3 ---  182 3 -y-  193 3 ---  183 3 -y- }
604D: 0130 { 192 3 ---  182 3 -y-  190 3 xy-  180 3 xy- }
604E: 0130 { 192 3 -y-  186 3 -y-  193 3 -y-  186 3 xy- }
604F: 0130 { 186 3 ---  192 3 ---  186 3 x--  193 3 --- }
6050: 0130 { 240 2 ---  250 2 ---  241 2 ---  251 2 --- }
6051: 0130 { 242 2 ---  252 2 ---  243 2 ---  253 2 --- }
6052: 0130 { 244 2 ---  254 2 ---  245 2 ---  255 2 --- }
6053: 0130 { 246 2 ---  256 2 ---  247 2 ---  257 2 --- }
6054: 0025 { 07F 2 ---  2C3 2 ---  07F 2 ---  2C4 2 --- }
6055: 0025 { 2D3 2 ---  2C5 2 ---  2D4 2 ---  2C6 2 --- }
6056: 0025 { 07F 2 ---  2C7 2 ---  07F 2 ---  2C3 2 x-- }
6057: 0025 { 07F 2 ---  2C2 2 x--  07F 2 ---  2C1 2 x-- }
6058: 0025 { 07F 2 ---  2C0 2 x--  07F 2 ---  2D1 2 x-- }
6059: 0025 { 07F 2 ---  2D0 2 x--  07F 2 ---  2D0 2 x-- }
605A: 0025 { 07F 3 ---  07F 3 ---  07F 3 ---  07F 3 --- }
605B: 0130 { 20A 6 --p  21A 6 --p  20B 6 --p  21B 6 --p }
605C: 0130 { 20C 6 --p  21C 6 --p  20D 6 --p  21D 6 --p }
605D: 0130 { 20E 6 --p  21E 6 --p  20F 6 --p  21F 6 --p }
605E: 01E4 { 194 3 ---  192 3 ---  186 3 x--  193 3 --- }
605F: 01E2 { 186 3 ---  192 3 ---  195 3 ---  193 3 --- }
6060: 0130 { 260 2 ---  270 2 ---  261 2 ---  271 2 --- }
6061: 0130 { 262 2 ---  272 2 ---  263 2 ---  273 2 --- }
6062: 0130 { 264 2 ---  274 2 ---  265 2 ---  275 2 --- }
6063: 0130 { 266 2 ---  276 2 ---  267 2 ---  277 2 --- }
6064: 0025 { 07F 2 ---  2C3 2 ---  07F 2 ---  2C4 2 --- }
6065: 0025 { 2D5 2 ---  2C5 2 ---  2D6 2 ---  2C6 2 --- }
6066: 0025 { 07F 2 ---  2C7 2 ---  07F 2 ---  2C3 2 x-- }
6067: 0025 { 07F 2 x--  2D0 2 ---  07F 2 x--  2D0 2 --- }
6068: 0025 { 07F 2 x--  2D1 2 ---  07F 2 x--  2C0 2 --- }
6069: 0025 { 07F 2 x--  2C1 2 ---  07F 2 x--  2C2 2 --- }
606A: 0025 { 07F 3 ---  07F 3 ---  07F 3 ---  07F 3 --- }
606B: 0130 { 22A 6 --p  23A 6 --p  22B 6 --p  23B 6 --p }
606C: 0130 { 22C 6 --p  23C 6 --p  22D 6 --p  23D 6 --p }
606D: 0130 { 22E 6 --p  23E 6 --p  22F 6 --p  23F 6 --p }
606E: 01E2 { 193 3 xy-  195 3 xy-  192 3 xy-  186 3 xy- }
606F: 01E4 { 193 3 xy-  186 3 -y-  192 3 xy-  194 3 xy- }
6070: 0130 { 1E3 3 ---  192 3 ---  195 3 ---  193 3 --- }
6071: 0130 { 194 3 ---  192 3 ---  1E3 3 ---  193 3 --- }
6072: 0130 { 194 3 ---  192 3 ---  195 3 ---  1E3 3 --- }
6073: 0130 { 194 3 ---  1E3 3 ---  195 3 ---  193 3 --- }
6074: 0130 { 1E3 3 ---  192 3 ---  195 3 ---  1C5 3 --- }
6075: 0025 { 2D5 2 ---  2D5 2 ---  2D6 2 ---  2D6 2 --- }
6076: 0025 { 07F 2 ---  2C7 2 ---  07F 2 ---  07F 2 --- }
6077: 0025 { 07F 2 x--  07F 2 x--  07F 2 x--  2C7 2 x-- }
6078: 0025 { 07F 3 ---  07F 3 ---  07F 3 ---  07F 3 --- }
6079: 0025 { 07F 3 ---  07F 3 ---  07F 3 ---  07F 3 --- }
607A: 0025 { 07F 3 ---  07F 3 ---  07F 3 ---  07F 3 --- }
607B: 0130 { 24A 6 --p  25A 6 --p  24B 6 --p  25B 6 --p }
607C: 0130 { 24C 6 --p  25C 6 --p  24D 6 --p  25D 6 --p }
607D: 0130 { 24E 6 --p  25E 6 --p  24F 6 --p  25F 6 --p }
607E: 0130 { 182 3 ---  182 3 -y-  183 3 ---  183 3 -y- }
607F: 0130 { 182 3 ---  186 3 -y-  180 3 x--  190 3 x-- }
6080: 0130 { 1E2 3 ---  192 3 ---  195 3 ---  193 3 --- }
6081: 0130 { 194 3 ---  192 3 ---  1E2 3 ---  193 3 --- }
6082: 0130 { 194 3 ---  192 3 ---  195 3 ---  1E2 3 --- }
6083: 0130 { 194 3 ---  1E2 3 ---  195 3 ---  193 3 --- }
6084: 0130 { 194 3 ---  1E2 3 ---  1E3 3 ---  193 3 --- }
6085: 0130 { 1C4 3 x--  1D4 3 x--  1C3 3 x--  1D3 3 x-- }
6086: 0025 { 19B 7 ---  19B 7 ---  19C 7 ---  19C 7 --- }
6087: 0025 { 1F4 7 ---  1F6 7 ---  1F5 7 ---  1F7 7 --- }
6088: 0025 { 2E0 5 ---  2F0 5 ---  2E1 5 ---  2F1 5 --- }
6089: 0025 { 2E2 5 ---  2F2 5 ---  2E3 5 ---  2F3 5 --- }
608A: 0025 { 284 5 ---  294 5 ---  285 5 ---  295 5 --- }
608B: 0025 { 286 5 ---  296 5 ---  287 5 ---  297 5 --- }
608C: 0025 { 280 5 ---  290 5 ---  281 5 ---  291 5 --- }
608D: 0025 { 282 5 ---  292 5 ---  283 5 ---  293 5 --- }
608E: 0130 { 194 3 ---  182 3 -y-  186 3 x--  183 3 -y- }
608F: 0130 { 190 3 -y-  184 3 -y-  190 3 xy-  184 3 xy- }
6090: 0130 { 1C5 3 ---  192 3 ---  195 3 ---  193 3 --- }
6091: 0130 { 194 3 ---  192 3 ---  1C5 3 ---  193 3 --- }
6092: 0130 { 194 3 ---  192 3 ---  195 3 ---  1C5 3 --- }
6093: 0130 { 194 3 ---  1C5 3 ---  195 3 ---  193 3 --- }
6094: 0130 { 194 3 ---  1C5 3 ---  1E3 3 ---  193 3 --- }
6095: 0130 { 1C3 3 ---  1D3 3 ---  1C4 3 ---  1D4 3 --- }
6096: 0025 { 19B 7 ---  1AB 7 ---  19C 7 ---  1AC 7 --- }
6097: 0130 { 1E9 7 xy-  19B 7 ---  1E9 7 -y-  19C 7 --- }
6098: 0025 { 2E4 5 ---  2F4 5 ---  2E5 5 ---  2F5 5 --- }
6099: 0025 { 2E6 5 ---  2F6 5 ---  2E7 5 ---  2F7 5 --- }
609A: 0025 { 2A4 5 ---  2B4 5 ---  2A5 5 ---  2B5 5 --- }
609B: 0025 { 2A6 5 ---  2B6 5 ---  2A7 5 ---  2B7 5 --- }
609C: 0025 { 2A0 5 ---  2B0 5 ---  2A1 5 ---  2B1 5 --- }
609D: 0025 { 2A2 5 ---  2B2 5 ---  2A3 5 ---  2B3 5 --- }
609E: 0130 { 190 3 -y-  180 3 -y-  186 3 x--  182 3 xy- }
609F: 0130 { 186 3 ---  182 3 -y-  190 3 xy-  180 3 xy- }
60A0: 0025 { 2A8 3 ---  2B8 3 ---  2A9 3 ---  2B9 3 --- }
60A1: 0025 { 2AA 3 ---  2BA 3 ---  2AB 3 ---  2BB 3 --- }
60A2: 0025 { 2AC 3 ---  2BC 3 ---  2AD 3 ---  2BD 3 --- }
60A3: 0130 { 1E8 7 -y-  1E7 7 ---  1E9 7 -y-  188 7 --- }
60A4: 0130 { 1E9 7 xy-  189 7 ---  1E9 7 -y-  189 7 --- }
60A5: 0130 { 1E9 7 xy-  18A 7 ---  1E8 7 xy-  1E7 7 x-- }
60A6: 0025 { 1A9 7 ---  18B 7 ---  199 7 ---  198 7 --- }
60A7: 0130 { 199 7 ---  19A 7 ---  1A9 7 ---  18B 7 --- }
60A8: 012F { 2EE 6 ---  2FE 6 ---  2EF 2 ---  2FF 6 --- }
60A9: 0130 { 07F 3 ---  07F 3 ---  07F 3 ---  07F 3 --- }
60AA: 0025 { 2CE 5 ---  2DE 5 ---  2CF 5 ---  2DF 5 --- }
60AB: 0025 { 2AE 5 ---  2BE 5 ---  2AF 5 ---  2BF 5 --- }
60AC: 0025 { 28E 5 ---  29E 5 ---  28F 5 ---  29F 5 --- }
60AD: 0025 { 28A 5 ---  29A 5 ---  28B 5 ---  29B 5 --- }
60AE: 0130 { 184 3 ---  190 3 ---  192 3 xy-  186 3 xy- }
60AF: 0130 { 186 3 ---  192 3 ---  190 3 xy-  184 3 xy- }
60B0: 0025 { 2C8 3 ---  2D8 3 ---  2C9 3 ---  2D9 3 --- }
60B1: 0025 { 2CA 3 ---  2DA 3 ---  2CB 3 ---  2DB 3 --- }
60B2: 0025 { 2CC 3 ---  2DC 3 ---  2CD 3 ---  2DD 3 --- }
60B3: 0130 { 1E6 7 ---  1E7 7 ---  198 7 ---  198 7 --- }
60B4: 0130 { 199 7 ---  199 7 ---  199 7 ---  199 7 --- }
60B5: 0130 { 19A 7 ---  19A 7 ---  1E6 7 x--  1E7 7 x-- }
60B6: 0025 { 2EE 6 ---  2FE 6 ---  2C9 3 ---  2D9 3 --- }
60B7: 0025 { 2CC 3 ---  2DC 3 ---  2EE 6 ---  2FE 6 --- }
60B8: 0025 { 2CC 3 ---  2DC 3 ---  2FE 6 ---  2FE 6 --- }
60B9: 0025 { 180 3 ---  191 3 -y-  183 3 ---  183 3 -y- }
60BA: 0130 { 180 3 ---  180 3 -y-  183 3 ---  183 3 -y- }
60BB: 0130 { 182 3 ---  186 3 -y-  183 3 ---  194 3 xy- }
60BC: 0130 { 192 3 -y-  186 3 -y-  193 3 -y-  186 3 xy- }
60BD: 0130 { 192 3 -y-  186 3 -y-  184 3 x--  190 3 x-- }
60BE: 0130 { 180 3 ---  190 3 ---  180 3 x--  190 3 x-- }
60BF: 0130 { 180 3 ---  180 3 -y-  183 3 ---  183 3 -y- }
60C0: 0025 { 2E8 3 ---  2F8 3 ---  2E9 3 ---  2F9 3 --- }
60C1: 0025 { 2EA 3 ---  2FA 3 ---  2EB 3 ---  2FB 3 --- }
60C2: 0025 { 2EC 3 ---  2FC 3 ---  2ED 3 ---  2FD 3 --- }
60C3: 0130 { 1E6 7 ---  1E8 7 ---  1A8 7 ---  1E9 7 --- }
60C4: 0130 { 1A9 7 ---  1E9 7 x--  1A9 7 ---  1E9 7 --- }
60C5: 0130 { 1AA 7 ---  1E9 7 x--  1E6 7 x--  1E8 7 x-- }
60C6: 0025 { 2CA 3 ---  2DA 3 ---  2CB 3 ---  2DB 3 --- }
60C7: 0025 { 2BA 3 ---  2DA 3 ---  2BB 3 ---  2DB 3 --- }
60C8: 0025 { 2FE 6 ---  2FE 6 ---  2C9 3 ---  2D9 3 --- }
60C9: 0130 { 182 3 ---  192 3 ---  183 3 ---  186 3 xy- }
60CA: 0130 { 190 3 -y-  180 3 -y-  186 3 x--  183 3 -y- }
60CB: 0130 { 186 3 ---  186 3 -y-  190 3 xy-  184 3 xy- }
60CC: 0130 { 186 3 ---  192 3 ---  186 3 x--  193 3 --- }
60CD: 0130 { 192 3 -y-  186 3 -y-  184 3 x--  190 3 x-- }
60CE: 0130 { 190 3 -y-  180 3 -y-  190 3 xy-  180 3 xy- }
60CF: 0130 { 183 3 x--  183 3 xy-  180 3 x--  180 3 xy- }
60D0: 0025 { 194 3 ---  194 3 ---  195 3 ---  1E3 3 --- }
60D1: 0025 { 194 3 ---  1C5 3 ---  195 3 ---  195 3 --- }
60D2: 0025 { 194 3 ---  194 3 ---  195 3 ---  1E2 3 --- }
60D3: 0025 { 194 3 ---  1E3 3 ---  195 3 ---  195 3 --- }
60D4: 0025 { 194 3 ---  1E3 3 ---  195 3 ---  1C5 3 --- }
60D5: 0025 { 194 3 ---  1E2 3 ---  195 3 ---  1E3 3 --- }
60D6: 0025 { 2CB 3 ---  2DB 3 ---  288 7 ---  298 7 --- }
60D7: 0025 { 289 7 ---  252 2 ---  289 7 x--  252 2 --- }
60D8: 0025 { 288 7 x--  298 7 ---  2CA 3 ---  2DA 3 --- }
60D9: 01E2 { 186 3 ---  186 3 -y-  193 3 -y-  195 3 -y- }
60DA: 01E2 { 193 3 xy-  195 3 xy-  186 3 x--  186 3 xy- }
60DB: 0130 { 182 3 ---  186 3 -y-  191 3 x--  190 3 xy- }
60DC: 0130 { 190 3 -y-  184 3 -y-  186 3 x--  192 3 x-- }
60DD: 0130 { 20A 6 --p  21A 6 --p  20B 6 --p  21B 6 --p }
60DE: 0130 { 20C 6 --p  21C 6 --p  20D 6 --p  21D 6 --p }
60DF: 0130 { 20E 6 --p  21E 6 --p  20F 6 --p  21F 6 --p }
60E0: 0025 { 1E3 3 ---  1E2 3 ---  193 3 ---  1C5 3 --- }
60E1: 0025 { 192 3 ---  1E2 3 ---  1E2 3 ---  1C5 3 --- }
60E2: 0025 { 1C5 3 ---  1E3 3 ---  193 3 ---  1E2 3 --- }
60E3: 0025 { 192 3 ---  1C5 3 ---  1C5 3 ---  1E2 3 --- }
60E4: 0025 { 192 3 ---  192 3 ---  1E3 3 ---  1E2 3 --- }
60E5: 0025 { 1C5 3 ---  1E3 3 ---  193 3 ---  193 3 --- }
60E6: 0025 { 2CB 3 ---  2DB 3 ---  2FF 7 ---  2FF 7 --- }
60E7: 0020 { 252 2 ---  252 2 ---  252 2 ---  252 2 --- }
60E8: 0025 { 2FF 7 ---  2FF 7 ---  2CA 3 ---  2DA 3 --- }
60E9: 0025 { 288 4 ---  298 4 ---  289 4 ---  299 7 --- }
60EA: 0025 { 289 4 x--  299 7 x--  288 4 x--  298 4 x-- }
60EB: 0025 { 252 2 ---  252 2 ---  252 2 ---  252 2 --- }
60EC: 0025 { 186 3 ---  182 3 -y-  195 3 ---  183 3 -y- }
60ED: 0130 { 22A 6 --p  23A 6 --p  22B 6 --p  23B 6 --p }
60EE: 0130 { 22C 6 --p  23C 6 --p  22D 6 --p  23D 6 --p }
60EF: 0130 { 22E 6 --p  23E 6 --p  22F 6 --p  23F 6 --p }
60F0: 0025 { 1C5 3 ---  1E3 3 ---  195 3 ---  193 3 --- }
60F1: 0025 { 194 3 ---  192 3 ---  1E3 3 ---  1E2 3 --- }
60F2: 0025 { 1E2 3 ---  1C5 3 ---  195 3 ---  193 3 --- }
60F3: 0025 { 194 3 ---  192 3 ---  1E3 3 ---  1E2 3 --- }
60F4: 0025 { 194 3 ---  192 3 ---  1C5 3 ---  1E2 3 --- }
60F5: 0025 { 1E3 3 ---  1C5 3 ---  195 3 ---  193 3 --- }
60F6: 0025 { 2CB 3 ---  2DB 3 ---  2FF 7 ---  298 7 -y- }
60F7: 0020 { 252 2 ---  252 2 ---  252 2 ---  252 2 --- }
60F8: 0025 { 2FF 7 ---  298 7 -y-  2CA 3 ---  2DA 3 --- }
60F9: 0025 { 2FF 4 ---  2FF 4 ---  299 7 ---  299 7 --- }
60FA: 0025 { 299 7 x--  299 7 x--  2FF 4 x--  2FF 4 x-- }
60FB: 0025 { 2FF 4 ---  288 4 -y-  299 7 -y-  289 4 -y- }
60FC: 0025 { 299 7 xy-  289 4 xy-  2FF 4 x--  288 4 xy- }
60FD: 0130 { 24A 6 --p  25A 6 --p  24B 6 --p  25B 6 --p }
60FE: 0130 { 24C 6 --p  25C 6 --p  24D 6 --p  25D 6 --p }
60FF: 0130 { 24E 6 --p  25E 6 --p  24F 6 --p  25F 6 --p }
